Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n73_MAMMALIA	197.956	165.39	242.08	B(1.641,2.522)
t_n74_THERIA	147.59	125.56	168.56	B(1.2156,1.694)
t_n75_MARSUPIALIA	54.812	45.37	65.09	B(0.4807,1.272)
t_n76_EOMETATHERIA	44.402	34.23	54.85	B(0.2304,0.56)
t_n77_PLACENTALIA	66.04	65.91	66.09	B(0.6166,0.6609,0.025,1e-300)
t_n78	64.6	63.89	65.14	0
t_n79_XENARTHRA	50.266	47.55	53.89	B(0.4807,0.6609)
t_n80_AFROTHERIA	59.43	57.57	60.86	B(0.56,0.6609)
t_n81_PAENUNGULATA	55.107	52.97	56.44	B(0.56,0.6609)
t_n82	64.615	64.16	65.02	0
t_n83	62.757	61.89	63.49	0
t_n84_LIPOTYPHLA	59.91	58.57	61.06	B(0.6166,0.6609)
t_n85	61.003	59.79	62.05	0
t_n86_CHIROPTERA	50.928	48.02	54.24	B(0.4807,0.6609)
t_n87	60.225	58.98	61.35	0
t_n88_CARNIVORA	42.626	38.84	46.74	B(0.3771,0.6609)
t_n89	3.413	2.59	4.44	0
t_n90	1.694	1.19	2.35	0
t_n91_CANIFORMIA	37.281	34.04	40.37	B(0.3771,0.6609)
t_n92	31.739	27.32	35.77	0
t_n93_EUUNGULATA	58.995	57.6	60.26	B(0.507,0.6609)
t_n94_ARTIODACTYLA	53.542	51.08	55.8	B(0.507,0.6609)
t_n95	51.422	48.81	53.84	0
t_n96_WHIP-RUM	48.101	45.2	50.61	B(0.507,0.6609)
t_n97_BOV-ANTIL	16.778	15.05	19.68	B(0.1599,0.2729)
t_n98	5.916	3.88	8.15	0
t_n99_EUARCHONTOGLIRES	62.042	61.52	62.79	B(0.6166,0.6609)
t_n100	61.215	60.56	62	0
t_n101_GLIRES	59.305	58.39	60.22	B(0.56,0.6609)
t_n102_LAGOMORPHA	47.979	45.73	50.06	B(0.4807,0.6609)
t_n103_RODENTIA	55.963	54.97	56.91	B(0.56,0.6609)
t_n104_ROD-NOSQUIRREL	54.215	52.94	55.39	B(0.4807,0.5924)
t_n105	35.484	30.44	39.84	0
t_n106	24.809	19.23	30.31	0
t_n107	28.698	23.61	33.26	0
t_n108	3.517	2.45	4.94	0
t_n109	24.206	19.2	28.95	0
t_n110	50.018	48.05	51.88	0
t_n111_DIPOD-RATT	43.598	41.15	46.31	B(0.4103,0.5924)
t_n112	36.957	33.91	40	0
t_n113	26.798	23.67	30.25	0
t_n114	21.316	17.87	24.97	0
t_n115	13.623	10.3	17.1	0
t_n116	19.63	16.13	23.35	0
t_n117_MURIDAE	15.106	13.1	16.43	B(0.0725,0.1599)
t_n118	8.474	6.67	10.32	0
t_n119	4.635	3.57	6.01	0
t_n120	2.25	1.6	3.07	0
t_n121_PRIMATES	56.733	55.48	58.44	B(0.56,0.6609)
t_n122_STREPSIRHINI	39.507	33.82	47.12	B(0.339,0.6609)
t_n123	21.256	14.34	29.55	0
t_n124	53.1	50.34	55.42	0
t_n125_ANTHROPOIDEA	32.226	29.15	35.1	B(0.339,0.6609)
t_n126	10.725	7.33	14.11	0
t_n127	10.295	6.92	13.66	0
t_n128	9.408	6.22	12.81	0
t_n129_CATARRHINI	24.396	22.86	25.93	B(0.2444,0.339)
t_n130	6.449	5.32	7.66	0
t_n131_CERCOPITHECINAE	4.521	3.7	5.33	B(0.0533,0.339)
t_n132_PAPIONINI	3.28	2.64	3.93	B(0.0533,0.339)
t_n133	2.791	2.17	3.44	0
t_n134	2.354	1.74	2.99	0
t_n135	1.475	1.09	1.87	0
t_n136	1.065	0.72	1.43	0
t_n137	4.375	3.39	5.62	0
t_n138	1.246	0.86	1.75	0
t_n139	12.295	10.5	14.56	0
t_n140_HOMINIDAE	11.293	9.56	13.49	B(0.1165,0.339)
t_n141_GORILLA-HUMAN	7.067	6.46	7.68	B(0.0533,0.339)
t_n142_HOMININI	6.45	5.91	6.95	B(0.065,0.1)
t_n143	1.314	0.87	1.92	0
