Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n73_MAMMALIA	196.27	163.09	246.42	B(1.641,2.522)
t_n74_THERIA	126.351	118.31	143.95	B(1.2156,1.694)
t_n75_MARSUPIALIA	55.246	43.17	66.42	B(0.4807,1.272)
t_n76_EOMETATHERIA	45.65	34.81	55.96	B(0.2304,0.56)
t_n77_PLACENTALIA	66.035	65.89	66.09	B(0.6166,0.6609,0.025,1e-300)
t_n78	65.405	65.25	65.52	0
t_n79_XENARTHRA	57.397	54.19	59.62	B(0.4807,0.6609)
t_n80_AFROTHERIA	60.099	59.19	60.9	B(0.56,0.6609)
t_n81_PAENUNGULATA	56.051	54.74	57.2	B(0.56,0.6609)
t_n82	64.066	63.82	64.29	0
t_n83	61.938	61.5	62.34	0
t_n84_LIPOTYPHLA	57.575	56.61	58.47	B(0.6166,0.6609)
t_n85	61.175	60.66	61.64	0
t_n86_CHIROPTERA	56.295	54.48	57.58	B(0.4807,0.6609)
t_n87	60.845	60.3	61.33	0
t_n88_CARNIVORA	50.457	46.62	53.26	B(0.3771,0.6609)
t_n89	15.84	11.45	19.79	0
t_n90	8.339	5.7	10.97	0
t_n91_CANIFORMIA	44.612	39.81	48.56	B(0.3771,0.6609)
t_n92	38.809	33.38	43.74	0
t_n93_EUUNGULATA	60.259	59.64	60.8	B(0.507,0.6609)
t_n94_ARTIODACTYLA	55.051	53.59	56.22	B(0.507,0.6609)
t_n95	53.431	51.76	54.75	0
t_n96_WHIP-RUM	49.985	47.87	51.56	B(0.507,0.6609)
t_n97_BOV-ANTIL	19.92	16.06	24.46	B(0.1599,0.2729)
t_n98	9.034	6.65	11.98	0
t_n99_EUARCHONTOGLIRES	61.636	61.28	61.98	B(0.6166,0.6609)
t_n100	61.189	60.81	61.56	0
t_n101_GLIRES	59.653	59.18	60.14	B(0.56,0.6609)
t_n102_LAGOMORPHA	47.822	45.89	49.44	B(0.4807,0.6609)
t_n103_RODENTIA	56.311	55.57	57.16	B(0.56,0.6609)
t_n104_ROD-NOSQUIRREL	55.278	54.41	56.27	B(0.4807,0.5924)
t_n105	39.837	36.36	43.42	0
t_n106	31.589	27.53	36.19	0
t_n107	34.82	31.31	38.76	0
t_n108	9.305	7.28	11.72	0
t_n109	31.387	27.83	35.57	0
t_n110	51.884	50.43	53.41	0
t_n111_DIPOD-RATT	44.399	41.33	47.38	B(0.4103,0.5924)
t_n112	36.029	31.78	40.32	0
t_n113	18.68	14.69	24.42	0
t_n114	14.842	11.55	19.77	0
t_n115	9.804	7.52	13.42	0
t_n116	13.951	10.83	18.66	0
t_n117_MURIDAE	9.958	7.58	13.91	B(0.0725,0.1599)
t_n118	4.943	3.64	7.16	0
t_n119	2.573	1.86	3.78	0
t_n120	1.216	0.87	1.8	0
t_n121_PRIMATES	58.81	58.11	59.47	B(0.56,0.6609)
t_n122_STREPSIRHINI	50.636	47.37	52.93	B(0.339,0.6609)
t_n123	36.184	29.79	41.61	0
t_n124	56.653	55.61	57.64	0
t_n125_ANTHROPOIDEA	37.475	33.85	41.06	B(0.339,0.6609)
t_n126	16.804	11.45	21.03	0
t_n127	16.159	10.98	20.28	0
t_n128	14.815	9.99	18.72	0
t_n129_CATARRHINI	28.182	24.96	31.48	B(0.2444,0.339)
t_n130	16.969	14.28	19.71	0
t_n131_CERCOPITHECINAE	12.825	10.55	15.15	B(0.0533,0.339)
t_n132_PAPIONINI	9.825	7.96	11.76	B(0.0533,0.339)
t_n133	8.395	6.75	10.12	0
t_n134	7.079	5.66	8.6	0
t_n135	5.492	4.33	6.78	0
t_n136	4.074	3.18	5.1	0
t_n137	12.374	10.15	14.73	0
t_n138	3.935	2.97	5.13	0
t_n139	20.988	18.23	23.92	0
t_n140_HOMINIDAE	18.694	16.1	21.41	B(0.1165,0.339)
t_n141_GORILLA-HUMAN	10.684	8.81	12.19	B(0.0533,0.339)
t_n142_HOMININI	8.784	7.16	10.01	B(0.065,0.1)
t_n143	3.661	2.85	4.49	0
