Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n73_MAMMALIA	194.921	162.77	245.32	B(1.641,2.522)
t_n74_THERIA	126.43	118.28	144.56	B(1.2156,1.694)
t_n75_MARSUPIALIA	54.789	42.79	66.24	B(0.4807,1.272)
t_n76_EOMETATHERIA	45.243	34.59	55.88	B(0.2304,0.56)
t_n77_PLACENTALIA	66.035	65.89	66.09	B(0.6166,0.6609,0.025,1e-300)
t_n78	65.404	65.24	65.52	0
t_n79_XENARTHRA	57.382	54.07	59.62	B(0.4807,0.6609)
t_n80_AFROTHERIA	60.102	59.19	60.91	B(0.56,0.6609)
t_n81_PAENUNGULATA	56.056	54.74	57.22	B(0.56,0.6609)
t_n82	64.065	63.82	64.29	0
t_n83	61.933	61.47	62.34	0
t_n84_LIPOTYPHLA	57.565	56.58	58.47	B(0.6166,0.6609)
t_n85	61.168	60.63	61.64	0
t_n86_CHIROPTERA	56.281	54.43	57.58	B(0.4807,0.6609)
t_n87	60.799	60.25	61.33	0
t_n88_CARNIVORA	50.4	46.51	53.21	B(0.3771,0.6609)
t_n89	15.801	11.37	19.76	0
t_n90	8.317	5.65	10.95	0
t_n91_CANIFORMIA	44.554	39.68	48.49	B(0.3771,0.6609)
t_n92	38.751	33.23	43.66	0
t_n93_EUUNGULATA	60.21	59.59	60.8	B(0.507,0.6609)
t_n94_ARTIODACTYLA	54.996	53.52	56.22	B(0.507,0.6609)
t_n95	53.377	51.69	54.74	0
t_n96_WHIP-RUM	49.934	47.78	51.56	B(0.507,0.6609)
t_n97_BOV-ANTIL	19.913	16.04	24.5	B(0.1599,0.2729)
t_n98	9.041	6.65	12	0
t_n99_EUARCHONTOGLIRES	61.634	61.28	61.98	B(0.6166,0.6609)
t_n100	61.187	60.81	61.56	0
t_n101_GLIRES	59.651	59.18	60.14	B(0.56,0.6609)
t_n102_LAGOMORPHA	47.82	45.87	49.44	B(0.4807,0.6609)
t_n103_RODENTIA	56.305	55.56	57.16	B(0.56,0.6609)
t_n104_ROD-NOSQUIRREL	55.271	54.4	56.26	B(0.4807,0.5924)
t_n105	39.777	36.34	43.33	0
t_n106	31.525	27.49	36.07	0
t_n107	34.759	31.27	38.67	0
t_n108	9.297	7.26	11.71	0
t_n109	31.329	27.79	35.48	0
t_n110	51.87	50.42	53.4	0
t_n111_DIPOD-RATT	44.371	41.27	47.36	B(0.4103,0.5924)
t_n112	36.007	31.66	40.27	0
t_n113	18.75	14.4	24.36	0
t_n114	14.901	11.3	19.72	0
t_n115	9.843	7.37	13.38	0
t_n116	14.007	10.6	18.6	0
t_n117_MURIDAE	10.022	7.52	13.91	B(0.0725,0.1599)
t_n118	4.975	3.64	7.17	0
t_n119	2.59	1.86	3.79	0
t_n120	1.224	0.87	1.81	0
t_n121_PRIMATES	58.807	58.1	59.47	B(0.56,0.6609)
t_n122_STREPSIRHINI	50.637	47.41	52.93	B(0.339,0.6609)
t_n123	36.182	29.82	41.56	0
t_n124	56.649	55.61	57.64	0
t_n125_ANTHROPOIDEA	37.47	33.86	41.02	B(0.339,0.6609)
t_n126	16.727	11.44	20.95	0
t_n127	16.085	10.97	20.21	0
t_n128	14.745	9.99	18.64	0
t_n129_CATARRHINI	28.176	24.97	31.45	B(0.2444,0.339)
t_n130	16.954	14.28	19.77	0
t_n131_CERCOPITHECINAE	12.812	10.55	15.22	B(0.0533,0.339)
t_n132_PAPIONINI	9.816	7.96	11.83	B(0.0533,0.339)
t_n133	8.387	6.75	10.18	0
t_n134	7.072	5.66	8.65	0
t_n135	5.487	4.33	6.82	0
t_n136	4.07	3.18	5.12	0
t_n137	12.361	10.15	14.78	0
t_n138	3.93	2.96	5.13	0
t_n139	20.989	18.21	23.89	0
t_n140_HOMINIDAE	18.695	16.08	21.39	B(0.1165,0.339)
t_n141_GORILLA-HUMAN	10.689	8.79	12.19	B(0.0533,0.339)
t_n142_HOMININI	8.789	7.15	10.01	B(0.065,0.1)
t_n143	3.663	2.84	4.49	0
