Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	579.34	577.61	579.98	B(5.5285,5.80,0.001,1e-300)
t_n56	398.302	223.35	528.97	0
t_n57	578.747	576.55	579.85	0
t_n58_EUMETAZOA	574.731	571.25	577.34	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	543.001	529.5	560.76	B(5.29,6.361,0.001,0.025)
t_n60	411.223	261.38	510.43	0
t_n61	258.197	92.92	423.8	0
t_n62	287.862	110.18	441.87	0
t_n63_BILATERIA	569.425	565.03	573.19	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	560.299	552.25	567.11	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	544.395	529.57	557.01	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	524.201	514.32	540.37	B(5.14,6.361,0.001,0.025)
t_n67	324.806	148.47	445.46	0
t_n68_VERTEBRATA	478.982	459.74	503.22	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	445.446	430.12	464.77	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	427.835	420.87	444.16	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	345.726	337.86	351.17	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	323.71	318.2	332.21	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	182.248	165.63	201.26	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	85.146	62.06	144.49	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	397.584	360.14	453.06	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	549.843	537.43	559.51	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	532.965	520.04	546.24	B(5.155,6.361,0.001,0.025)
t_n78	413.311	296.03	500.66	0
t_n79	355.159	211.39	456.5	0
t_n80_HEMICHORDATA	508.853	504.49	519.55	B(5.045,6.361,0.001,0.025)
t_n81	474.928	349.25	534.07	0
t_n82_PROTOSTOMIA	563.88	558.74	568.54	B(5.5285,6.361,0.001,0.025)
t_n83	558.825	552.87	564.46	0
t_n84	553.888	547.67	560.07	0
t_n85_ANNELIDS-MOLLUSCS	546.768	540.92	553.2	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	497.514	477.19	528.32	B(4.765,6.361,0.001,0.025)
t_n87	461.248	391.64	509	0
t_n88	397.676	311.27	472.89	0
t_n89	351.569	172.5	455.75	0
t_n90_MOLLUSCA	538.641	534.51	544.5	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	531.583	530.03	535.54	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	484.822	470.65	510.48	B(4.702,5.49,0.001,0.025)
t_n93	392.087	218.59	498.62	0
t_n94	397.739	268.71	503.62	0
t_n95	203.532	66.6	396.01	0
t_n96_ECDYSOZOA	556.384	549.48	562.55	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	549.681	541.77	556.79	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	541.83	533.98	549.58	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	533.037	526.08	540.16	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	526.421	520.55	531.26	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	516.622	514.07	522.02	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	502.901	499.1	510.15	B(4.99,5.3122,0.001,0.025)
t_n103	458.013	408.12	491.05	0
t_n104	378.883	325.45	440.76	0
t_n105_EUMETABOLA	342.482	306.46	405.27	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	506.118	497.79	520.64	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	443.919	417.08	481.61	B(4.16,5.3122,0.001,0.025)
