Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	579.442	578.01	579.99	B(5.5285,5.80,0.001,1e-300)
t_n56	535.991	491.53	555.9	0
t_n57	578.817	576.86	579.85	0
t_n58_EUMETAZOA	571.732	569.64	573.58	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	562.883	558.13	566.43	B(5.29,6.361,0.001,0.025)
t_n60	540.237	514.02	552.57	0
t_n61	500.568	409.11	535.78	0
t_n62	465.716	309.64	526.63	0
t_n63_BILATERIA	560.695	558.92	562.93	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	557.053	555.08	559.56	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	551.871	548.79	555.17	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	542.5	535.73	548.34	B(5.14,6.361,0.001,0.025)
t_n67	437.687	315.77	506.42	0
t_n68_VERTEBRATA	498.288	479.99	516.59	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	451.687	438.71	467.08	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	427.238	420.86	442.19	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	349.642	345.23	351.85	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	319.953	318.04	324.66	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	188.096	166.85	202.14	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	95.695	64.12	135.24	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	451.4	392.64	490.53	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	553.409	550.76	556.45	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	544.086	538.95	549.06	B(5.155,6.361,0.001,0.025)
t_n78	515.01	489.3	530.51	0
t_n79	501.471	458.15	523.01	0
t_n80_HEMICHORDATA	513.297	504.74	526.84	B(5.045,6.361,0.001,0.025)
t_n81	541.87	531.26	548.23	0
t_n82_PROTOSTOMIA	553.869	552.78	556.02	B(5.5285,6.361,0.001,0.025)
t_n83	551.962	550.57	554.17	0
t_n84	549.566	547.97	551.78	0
t_n85_ANNELIDS-MOLLUSCS	544.239	542.27	546.54	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	531.464	522.66	536.61	B(4.765,6.361,0.001,0.025)
t_n87	526.455	514.63	533.25	0
t_n88	515.432	493.63	527.2	0
t_n89	494.778	427.36	518.26	0
t_n90_MOLLUSCA	536.477	534.67	538.86	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	531.097	530.01	533.69	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	516.57	503.84	523.69	B(4.702,5.49,0.001,0.025)
t_n93	511.314	493.79	520.38	0
t_n94	512.579	481.53	530.19	0
t_n95	370.258	93.19	501.96	0
t_n96_ECDYSOZOA	549.076	547.17	551.39	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	545.437	542.96	547.98	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	540.3	537.21	543.12	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	532.398	529.06	535.18	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	528.907	525.62	531.52	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	516.03	514.05	519.99	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	504.613	499.51	511.03	B(4.99,5.3122,0.001,0.025)
t_n103	489.838	475.96	500.98	0
t_n104	427.089	374.07	452.4	0
t_n105_EUMETABOLA	394.842	330.86	418.13	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	516.472	506.46	523.4	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	489.835	452.06	509.24	B(4.16,5.3122,0.001,0.025)
