Calib;node;Prior
MAMMALIA;73;B(1.641,2.522)
THERIA;74;B(1.2156,1.694)
MARSUPIALIA;75;B(0.4807,1.272)
EOMETATHERIA;76;B(0.2304,0.56)
PLACENTALIA;77;B(0.6166,0.6609,0.025,1e-300)
XENARTHRA;79;B(0.4807,0.6609)
AFROTHERIA;80;B(0.56,0.6609)
PAENUNGULATA;81;B(0.56,0.6609)
LIPOTYPHLA;84;B(0.6166,0.6609)
CHIROPTERA;86;B(0.4807,0.6609)
CARNIVORA;88;B(0.3771,0.6609)
CANIFORMIA;91;B(0.3771,0.6609)
EUUNGULATA;93;B(0.507,0.6609)
ARTIODACTYLA;94;B(0.507,0.6609)
WHIP-RUM;96;B(0.507,0.6609)
BOV-ANTIL;97;B(0.1599,0.2729)
EUARCHONTOGLIRES;99;B(0.6166,0.6609)
GLIRES;101;B(0.56,0.6609)
LAGOMORPHA;102;B(0.4807,0.6609)
RODENTIA;103;B(0.56,0.6609)
ROD-NOSQUIRREL;104;B(0.4807,0.5924)
DIPOD-RATT;111;B(0.4103,0.5924)
MURIDAE;117;B(0.0725,0.1599)
PRIMATES;121;B(0.56,0.6609)
STREPSIRHINI;122;B(0.339,0.6609)
ANTHROPOIDEA;125;B(0.339,0.6609)
CATARRHINI;129;B(0.2444,0.339)
CERCOPITHECINAE;131;B(0.0533,0.339)
PAPIONINI;132;B(0.0533,0.339)
HOMINIDAE;140;B(0.1165,0.339)
GORILLA-HUMAN;141;B(0.0533,0.339)
HOMININI;142;B(0.065,0.1)
