Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g1_n80	0.116	0.08	0.19
r_g1_n81	0.039	0.02	0.09
r_g1_n82	0.15	0.09	0.26
r_g1_n83	0.048	0.02	0.1
r_g1_n84	0.104	0.05	0.21
r_g1_n85	0.101	0.06	0.18
r_g1_n86	0.051	0.03	0.1
r_g1_n87	0.035	0.01	0.08
r_g1_n88	0.038	0.01	0.09
r_g1_n89	0.042	0.02	0.09
r_g1_n90	0.111	0.07	0.19
r_g1_n91	0.144	0.09	0.24
r_g1_n92	0.064	0.05	0.1
r_g1_n93	0.035	0.02	0.07
r_g1_n94	0.062	0.03	0.12
r_g1_n95	0.054	0.04	0.08
r_g1_n96	0.107	0.06	0.2
r_g1_n97	0.069	0.03	0.14
r_g1_n98	0.075	0.04	0.14
r_g1_n99	0.092	0.05	0.17
r_g1_n100	0.047	0.02	0.1
r_g1_n101	0.204	0.14	0.31
r_g1_n102	0.127	0.09	0.19
r_g1_n103	0.046	0.02	0.1
r_g1_n104	0.055	0.03	0.11
r_g1_n105	0.046	0.02	0.1
r_g1_n106	0.074	0.05	0.12
r_g1_n107	0.048	0.03	0.09
r_g2_n1	0.044	0.03	0.07
r_g2_n2	0.036	0.03	0.05
r_g2_n3	0.044	0.04	0.05
r_g2_n4	0.035	0.03	0.05
r_g2_n5	0.038	0.02	0.07
r_g2_n6	0.03	0.02	0.06
r_g2_n7	0.05	0.03	0.09
r_g2_n8	0.04	0.03	0.07
r_g2_n9	0.032	0.03	0.03
r_g2_n10	0.056	0.04	0.09
r_g2_n11	0.059	0.04	0.09
r_g2_n12	0.017	0.02	0.02
r_g2_n13	0.013	0.01	0.01
r_g2_n14	0.017	0.01	0.02
r_g2_n15	0.021	0.01	0.03
r_g2_n16	0.027	0.02	0.03
r_g2_n17	0.013	0.01	0.01
r_g2_n18	0.018	0.02	0.02
r_g2_n19	0.043	0.04	0.05
r_g2_n20	0.023	0.02	0.03
r_g2_n21	0.038	0.03	0.05
r_g2_n22	0.051	0.04	0.07
r_g2_n23	0.042	0.03	0.06
r_g2_n24	0.015	0.01	0.02
r_g2_n25	0.018	0.02	0.02
r_g2_n26	0.126	0.11	0.15
r_g2_n27	0.047	0.04	0.06
r_g2_n28	0.033	0.03	0.04
r_g2_n29	0.043	0.04	0.05
r_g2_n30	0.049	0.04	0.06
r_g2_n31	0.048	0.04	0.07
r_g2_n32	0.036	0.03	0.05
r_g2_n33	0.038	0.04	0.04
r_g2_n34	0.049	0.05	0.05
r_g2_n35	0.046	0.04	0.06
r_g2_n36	0.043	0.03	0.06
r_g2_n37	0.04	0.04	0.04
r_g2_n38	0.073	0.06	0.1
r_g2_n39	0.083	0.07	0.11
r_g2_n40	0.058	0.03	0.11
r_g2_n41	0.053	0.03	0.1
r_g2_n42	0.04	0.04	0.04
r_g2_n43	0.094	0.09	0.1
r_g2_n44	0.033	0.03	0.04
r_g2_n45	0.04	0.04	0.04
r_g2_n46	0.032	0.03	0.04
r_g2_n47	0.05	0.04	0.06
r_g2_n48	0.04	0.03	0.04
r_g2_n49	0.056	0.05	0.06
r_g2_n50	0.048	0.05	0.05
r_g2_n51	0.026	0.02	0.03
r_g2_n52	0.038	0.03	0.04
r_g2_n53	0.032	0.03	0.04
r_g2_n54	0.038	0.03	0.04
r_g2_n56	0.037	0.02	0.07
r_g2_n57	0.058	0.01	0.16
r_g2_n58	0.058	0.03	0.12
r_g2_n59	0.054	0.03	0.11
r_g2_n60	0.045	0.02	0.1
r_g2_n61	0.052	0.02	0.11
r_g2_n62	0.071	0.04	0.12
r_g2_n63	0.461	0.26	0.79
r_g2_n64	0.108	0.05	0.21
r_g2_n65	0.074	0.03	0.15
r_g2_n66	0.073	0.04	0.14
r_g2_n67	0.097	0.06	0.17
r_g2_n68	0.134	0.08	0.23
r_g2_n69	0.105	0.06	0.19
r_g2_n70	0.066	0.03	0.13
r_g2_n71	0.025	0.02	0.03
r_g2_n72	0.099	0.07	0.15
r_g2_n73	0.014	0.01	0.02
r_g2_n74	0.015	0.01	0.02
r_g2_n75	0.042	0.03	0.08
r_g2_n76	0.088	0.04	0.18
r_g2_n77	0.102	0.05	0.19
r_g2_n78	0.063	0.03	0.13
r_g2_n79	0.05	0.02	0.12
r_g2_n80	0.166	0.11	0.27
r_g2_n81	0.059	0.02	0.13
r_g2_n82	0.252	0.15	0.43
r_g2_n83	0.1	0.05	0.21
r_g2_n84	0.055	0.02	0.12
r_g2_n85	0.112	0.06	0.2
r_g2_n86	0.066	0.04	0.13
r_g2_n87	0.048	0.02	0.11
r_g2_n88	0.043	0.02	0.1
r_g2_n89	0.048	0.02	0.1
r_g2_n90	0.13	0.08	0.22
r_g2_n91	0.124	0.08	0.21
r_g2_n92	0.084	0.06	0.14
r_g2_n93	0.045	0.02	0.1
r_g2_n94	0.078	0.04	0.15
r_g2_n95	0.071	0.05	0.11
r_g2_n96	0.105	0.05	0.19
r_g2_n97	0.107	0.05	0.21
r_g2_n98	0.112	0.06	0.22
r_g2_n99	0.122	0.07	0.22
r_g2_n100	0.082	0.04	0.17
r_g2_n101	0.27	0.19	0.42
r_g2_n102	0.138	0.09	0.21
r_g2_n103	0.049	0.02	0.11
r_g2_n104	0.058	0.03	0.11
r_g2_n105	0.058	0.02	0.13
r_g2_n106	0.099	0.06	0.16
r_g2_n107	0.066	0.04	0.12
