Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g2_n53	0.029	0.03	0.03
r_g2_n54	0.034	0.03	0.04
r_g2_n56	0.267	0.12	0.43
r_g2_n57	0.37	0.25	0.52
r_g2_n58	0.463	0.36	0.6
r_g2_n59	0.415	0.27	0.57
r_g2_n60	0.302	0.13	0.49
r_g2_n61	0.23	0.06	0.48
r_g2_n62	0.258	0.07	0.5
r_g2_n63	0.762	0.64	0.91
r_g2_n64	0.476	0.36	0.62
r_g2_n65	0.346	0.24	0.48
r_g2_n66	0.257	0.16	0.39
r_g2_n67	0.241	0.09	0.52
r_g2_n68	0.19	0.13	0.29
r_g2_n69	0.095	0.07	0.13
r_g2_n70	0.054	0.03	0.09
r_g2_n71	0.026	0.02	0.03
r_g2_n72	0.078	0.06	0.1
r_g2_n73	0.015	0.01	0.02
r_g2_n74	0.017	0.01	0.03
r_g2_n75	0.095	0.04	0.18
r_g2_n76	0.403	0.28	0.55
r_g2_n77	0.343	0.23	0.49
r_g2_n78	0.289	0.15	0.47
r_g2_n79	0.21	0.08	0.4
r_g2_n80	0.284	0.21	0.43
r_g2_n81	0.378	0.2	0.58
r_g2_n82	0.565	0.46	0.69
r_g2_n83	0.447	0.34	0.57
r_g2_n84	0.403	0.31	0.52
r_g2_n85	0.4	0.31	0.5
r_g2_n86	0.335	0.19	0.48
r_g2_n87	0.274	0.13	0.45
r_g2_n88	0.229	0.1	0.42
r_g2_n89	0.228	0.07	0.41
r_g2_n90	0.396	0.32	0.49
r_g2_n91	0.331	0.24	0.45
r_g2_n92	0.313	0.16	0.49
r_g2_n93	0.308	0.15	0.48
r_g2_n94	0.361	0.18	0.61
r_g2_n95	0.211	0.06	0.55
r_g2_n96	0.403	0.3	0.52
r_g2_n97	0.388	0.28	0.51
r_g2_n98	0.36	0.27	0.47
r_g2_n99	0.31	0.24	0.4
r_g2_n100	0.295	0.21	0.4
r_g2_n101	0.273	0.21	0.36
r_g2_n102	0.19	0.13	0.28
r_g2_n103	0.144	0.08	0.24
r_g2_n104	0.077	0.04	0.11
r_g2_n105	0.063	0.03	0.12
r_g2_n106	0.239	0.14	0.36
r_g2_n107	0.184	0.07	0.34
