Diversification model	logL	S.E. (delta)	Pr(M|D)	2.5% CI	97.5% CI
Unconstrained | pU = 1e-300 | dRetal15pUhb-GBM	-674.72	0.085	0.99999999989583	0.999999999873079	0.999999999914641
Unconstrained | pU = 1e-300 | dRetal15pUhb-ILN	-697.7	0.057	1.04170074799183e-10	8.53589536201096e-11	1.26920776172289e-10
Late Ediacaran | pU = 1e-300 | BM23pUhb-GBM	-720.24	0.081	1.69983602897641e-20	1.35179780203657e-20	2.14785812853262e-20
Late Ediacaran | pU = 1e-300 | BM23pUhb-ILN	-764.14	0.06	1.45565678980586e-39	1.19043265359697e-39	1.78725887788849e-39
