Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g1_n76	0.156	0.11	0.22
r_g1_n77	0.268	0.19	0.36
r_g1_n78	0.217	0.17	0.27
r_g1_n79	0.193	0.14	0.26
r_g1_n80	0.238	0.18	0.31
r_g1_n81	0.186	0.14	0.24
r_g1_n82	0.247	0.19	0.3
r_g1_n83	0.23	0.18	0.28
r_g1_n84	0.236	0.18	0.3
r_g1_n85	0.218	0.18	0.26
r_g1_n86	0.193	0.14	0.25
r_g1_n87	0.195	0.16	0.23
r_g1_n88	0.185	0.14	0.23
r_g1_n89	0.107	0.1	0.12
r_g1_n90	0.046	0.04	0.06
r_g1_n91	0.143	0.11	0.18
r_g1_n92	0.137	0.11	0.17
r_g1_n93	0.2	0.16	0.24
r_g1_n94	0.227	0.19	0.26
r_g1_n95	0.194	0.16	0.23
r_g1_n96	0.184	0.15	0.22
r_g1_n97	0.159	0.14	0.18
r_g1_n98	0.111	0.09	0.13
r_g1_n99	0.237	0.19	0.28
r_g1_n100	0.209	0.17	0.25
r_g1_n101	0.256	0.21	0.3
r_g1_n102	0.306	0.27	0.35
r_g1_n103	0.265	0.22	0.31
r_g1_n104	0.273	0.23	0.33
r_g1_n105	0.332	0.29	0.38
r_g1_n106	0.207	0.17	0.25
r_g1_n107	0.241	0.2	0.28
r_g1_n108	0.229	0.21	0.25
r_g1_n109	0.201	0.16	0.24
r_g1_n110	0.267	0.22	0.32
r_g1_n111	0.265	0.2	0.33
r_g1_n112	0.263	0.21	0.33
r_g1_n113	0.26	0.21	0.32
r_g1_n114	0.319	0.25	0.4
r_g1_n115	0.322	0.25	0.41
r_g1_n116	0.309	0.24	0.39
r_g1_n117	0.358	0.28	0.44
r_g1_n118	0.379	0.28	0.48
r_g1_n119	0.372	0.27	0.48
r_g1_n120	0.344	0.24	0.45
r_g1_n121	0.203	0.16	0.25
r_g1_n122	0.167	0.13	0.21
r_g1_n123	0.12	0.09	0.15
r_g1_n124	0.189	0.15	0.23
r_g1_n125	0.167	0.14	0.19
r_g1_n126	0.102	0.09	0.12
r_g1_n127	0.094	0.08	0.12
r_g1_n128	0.098	0.08	0.12
r_g1_n129	0.107	0.09	0.13
r_g1_n130	0.085	0.07	0.1
r_g1_n131	0.067	0.06	0.08
r_g1_n132	0.052	0.04	0.06
r_g1_n133	0.051	0.04	0.06
r_g1_n134	0.052	0.04	0.06
r_g1_n135	0.044	0.04	0.05
r_g1_n136	0.037	0.03	0.04
r_g1_n137	0.062	0.05	0.07
r_g1_n138	0.053	0.05	0.06
r_g1_n139	0.069	0.06	0.08
r_g1_n140	0.063	0.05	0.08
r_g1_n141	0.051	0.04	0.06
r_g1_n142	0.047	0.04	0.06
r_g1_n143	0.044	0.04	0.05
r_g2_n1	0.061	0.01	0.11
r_g2_n2	0.07	0.06	0.09
r_g2_n3	0.074	0.06	0.1
r_g2_n4	0.085	0.07	0.11
r_g2_n5	0.058	0.05	0.06
r_g2_n6	0.076	0.07	0.08
r_g2_n7	0.118	0.11	0.12
r_g2_n8	0.085	0.08	0.09
r_g2_n9	0.051	0.05	0.05
r_g2_n10	0.148	0.14	0.16
r_g2_n11	0.13	0.12	0.14
r_g2_n12	0.064	0.06	0.07
