Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g2_n25	0.093	0.06	0.14
r_g2_n26	0.055	0.04	0.08
r_g2_n27	0.089	0.09	0.09
r_g2_n28	0.071	0.07	0.07
r_g2_n29	0.118	0.11	0.12
r_g2_n30	0.075	0.07	0.08
r_g2_n31	0.104	0.08	0.13
r_g2_n32	0.087	0.07	0.11
r_g2_n33	0.046	0.03	0.06
r_g2_n34	0.139	0.1	0.19
r_g2_n35	0.087	0.07	0.11
r_g2_n36	0.138	0.11	0.17
r_g2_n37	0.132	0.13	0.14
r_g2_n38	0.13	0.12	0.14
r_g2_n39	0.105	0.1	0.11
r_g2_n40	0.132	0.1	0.17
r_g2_n41	0.1	0.08	0.13
r_g2_n42	0.108	0.09	0.13
r_g2_n43	0.134	0.11	0.16
r_g2_n44	0.111	0.09	0.14
r_g2_n45	0.104	0.08	0.13
r_g2_n46	0.099	0.07	0.14
r_g2_n47	0.107	0.08	0.15
r_g2_n48	0.139	0.13	0.16
r_g2_n49	0.097	0.08	0.11
r_g2_n50	0.06	0.04	0.09
r_g2_n51	0.084	0.06	0.12
r_g2_n52	0.08	0.08	0.08
r_g2_n53	0.079	0.06	0.11
r_g2_n54	0.097	0.07	0.14
r_g2_n55	0.092	0.07	0.13
r_g2_n56	0.08	0.06	0.12
r_g2_n57	0.076	0.06	0.09
r_g2_n58	0.073	0.06	0.09
r_g2_n59	0.093	0.07	0.12
r_g2_n60	0.078	0.06	0.1
r_g2_n61	0.083	0.06	0.11
r_g2_n62	0.097	0.07	0.13
r_g2_n63	0.054	0.04	0.07
r_g2_n64	0.09	0.07	0.11
r_g2_n65	0.058	0.04	0.08
r_g2_n66	0.098	0.07	0.14
r_g2_n67	0.06	0.05	0.07
r_g2_n68	0.054	0.04	0.06
r_g2_n69	0.041	0.04	0.04
r_g2_n70	0.059	0.04	0.08
r_g2_n71	0.075	0.05	0.11
r_g2_n72	0.036	0.03	0.04
r_g2_n74	0.099	0.04	0.21
r_g2_n75	0.08	0.06	0.1
r_g2_n76	0.091	0.05	0.15
r_g2_n77	0.113	0.09	0.15
r_g2_n78	0.128	0.08	0.19
r_g2_n79	0.123	0.1	0.16
r_g2_n80	0.305	0.22	0.41
r_g2_n81	0.217	0.16	0.3
r_g2_n82	0.445	0.33	0.6
r_g2_n83	0.349	0.24	0.49
r_g2_n84	0.511	0.37	0.69
r_g2_n85	0.121	0.07	0.19
r_g2_n86	0.099	0.07	0.14
r_g2_n87	0.097	0.06	0.15
r_g2_n88	0.085	0.07	0.11
r_g2_n89	0.052	0.05	0.06
r_g2_n90	0.114	0.07	0.17
r_g2_n91	0.102	0.06	0.16
r_g2_n92	0.086	0.05	0.14
r_g2_n93	0.104	0.06	0.16
r_g2_n94	0.199	0.14	0.29
r_g2_n95	0.127	0.08	0.19
r_g2_n96	0.158	0.1	0.23
r_g2_n97	0.085	0.08	0.1
r_g2_n98	0.06	0.05	0.08
r_g2_n99	0.251	0.2	0.34
r_g2_n100	0.122	0.08	0.19
r_g2_n101	0.184	0.13	0.26
r_g2_n102	0.252	0.21	0.31
r_g2_n103	0.222	0.17	0.3
r_g2_n104	0.108	0.07	0.17
r_g2_n105	0.176	0.14	0.23
r_g2_n106	0.101	0.07	0.15
r_g2_n107	0.114	0.07	0.17
r_g2_n108	0.134	0.11	0.17
r_g2_n109	0.101	0.06	0.16
r_g2_n110	0.144	0.1	0.21
r_g2_n111	0.18	0.13	0.26
r_g2_n112	0.17	0.12	0.24
r_g2_n113	0.229	0.17	0.31
r_g2_n114	0.126	0.08	0.19
r_g2_n115	0.12	0.08	0.18
r_g2_n116	0.096	0.06	0.15
r_g2_n117	0.143	0.11	0.19
r_g2_n118	0.151	0.11	0.21
r_g2_n119	0.124	0.08	0.19
r_g2_n120	0.111	0.07	0.17
r_g2_n121	0.102	0.08	0.15
r_g2_n122	0.064	0.04	0.11
r_g2_n123	0.063	0.04	0.1
r_g2_n124	0.093	0.05	0.15
r_g2_n125	0.083	0.07	0.1
r_g2_n126	0.055	0.05	0.07
r_g2_n127	0.093	0.05	0.15
r_g2_n128	0.092	0.05	0.15
r_g2_n129	0.074	0.05	0.11
r_g2_n130	0.032	0.03	0.04
r_g2_n131	0.081	0.05	0.13
r_g2_n132	0.075	0.05	0.12
r_g2_n133	0.085	0.05	0.14
r_g2_n134	0.087	0.05	0.14
r_g2_n135	0.066	0.04	0.09
r_g2_n136	0.072	0.04	0.12
r_g2_n137	0.091	0.06	0.14
r_g2_n138	0.094	0.06	0.13
r_g2_n139	0.024	0.02	0.03
r_g2_n140	0.087	0.05	0.14
r_g2_n141	0.063	0.04	0.1
r_g2_n142	0.102	0.06	0.16
r_g2_n143	0.027	0.02	0.03
r_g3_n1	0.058	0.03	0.08
r_g3_n2	0.046	0.04	0.06
r_g3_n3	0.05	0.04	0.06
r_g3_n4	0.061	0.05	0.08
r_g3_n5	0.052	0.05	0.06
r_g3_n6	0.063	0.06	0.07
r_g3_n7	0.088	0.09	0.09
r_g3_n8	0.056	0.05	0.06
r_g3_n9	0.038	0.04	0.04
r_g3_n10	0.088	0.09	0.09
r_g3_n11	0.08	0.08	0.08
r_g3_n12	0.045	0.04	0.05
r_g3_n13	0.07	0.07	0.07
r_g3_n14	0.042	0.03	0.06
r_g3_n15	0.102	0.07	0.14
r_g3_n16	0.038	0.03	0.05
r_g3_n17	0.037	0.03	0.04
r_g3_n18	0.044	0.04	0.05
r_g3_n19	0.037	0.03	0.04
r_g3_n20	0.036	0.03	0.04
r_g3_n21	0.043	0.04	0.04
r_g3_n22	0.038	0.04	0.04
r_g3_n23	0.035	0.03	0.04
r_g3_n24	0.034	0.03	0.04
r_g3_n25	0.079	0.06	0.12
r_g3_n26	0.039	0.03	0.06
r_g3_n27	0.056	0.05	0.06
r_g3_n28	0.047	0.04	0.05
r_g3_n29	0.075	0.07	0.08
r_g3_n30	0.042	0.04	0.04
r_g3_n31	0.066	0.05	0.08
r_g3_n32	0.056	0.05	0.07
r_g3_n33	0.03	0.02	0.04
r_g3_n34	0.15	0.1	0.21
r_g3_n35	0.052	0.04	0.06
r_g3_n36	0.086	0.07	0.11
r_g3_n37	0.083	0.08	0.09
r_g3_n38	0.081	0.08	0.09
r_g3_n39	0.063	0.06	0.07
r_g3_n40	0.083	0.06	0.11
r_g3_n41	0.059	0.05	0.08
r_g3_n42	0.062	0.05	0.07
r_g3_n43	0.075	0.06	0.09
r_g3_n44	0.068	0.05	0.09
r_g3_n45	0.06	0.05	0.08
r_g3_n46	0.06	0.04	0.08
r_g3_n47	0.068	0.05	0.09
r_g3_n48	0.086	0.08	0.1
r_g3_n49	0.06	0.05	0.07
r_g3_n50	0.038	0.03	0.05
r_g3_n51	0.051	0.04	0.07
r_g3_n52	0.051	0.05	0.05
r_g3_n53	0.053	0.04	0.08
r_g3_n54	0.059	0.04	0.09
r_g3_n55	0.057	0.04	0.08
r_g3_n56	0.049	0.03	0.07
r_g3_n57	0.045	0.04	0.05
r_g3_n58	0.044	0.03	0.06
r_g3_n59	0.066	0.05	0.08
r_g3_n60	0.053	0.04	0.07
r_g3_n61	0.06	0.05	0.08
r_g3_n62	0.074	0.05	0.1
r_g3_n63	0.035	0.02	0.05
r_g3_n64	0.058	0.04	0.07
r_g3_n65	0.042	0.03	0.06
r_g3_n66	0.081	0.06	0.11
r_g3_n67	0.041	0.03	0.05
r_g3_n68	0.036	0.03	0.04
r_g3_n69	0.027	0.02	0.03
r_g3_n70	0.047	0.03	0.07
r_g3_n71	0.065	0.04	0.09
r_g3_n72	0.022	0.02	0.02
r_g3_n74	0.066	0.02	0.15
r_g3_n75	0.049	0.04	0.06
r_g3_n76	0.055	0.03	0.09
r_g3_n77	0.073	0.06	0.1
r_g3_n78	0.082	0.05	0.12
r_g3_n79	0.074	0.06	0.1
r_g3_n80	0.177	0.13	0.24
r_g3_n81	0.137	0.1	0.19
r_g3_n82	0.261	0.19	0.35
r_g3_n83	0.21	0.15	0.29
r_g3_n84	0.322	0.23	0.43
r_g3_n85	0.068	0.04	0.1
r_g3_n86	0.063	0.05	0.09
r_g3_n87	0.064	0.04	0.1
r_g3_n88	0.048	0.04	0.06
r_g3_n89	0.029	0.03	0.03
r_g3_n90	0.064	0.04	0.1
r_g3_n91	0.058	0.04	0.09
r_g3_n92	0.048	0.03	0.08
r_g3_n93	0.07	0.04	0.11
r_g3_n94	0.118	0.08	0.17
r_g3_n95	0.077	0.05	0.12
r_g3_n96	0.097	0.06	0.14
r_g3_n97	0.052	0.05	0.06
r_g3_n98	0.038	0.03	0.05
r_g3_n99	0.149	0.12	0.2
r_g3_n100	0.081	0.05	0.12
r_g3_n101	0.112	0.08	0.16
r_g3_n102	0.146	0.12	0.18
r_g3_n103	0.121	0.09	0.16
r_g3_n104	0.071	0.04	0.11
r_g3_n105	0.102	0.08	0.13
r_g3_n106	0.06	0.04	0.09
r_g3_n107	0.069	0.04	0.1
r_g3_n108	0.081	0.07	0.1
r_g3_n109	0.064	0.04	0.1
r_g3_n110	0.086	0.06	0.13
r_g3_n111	0.104	0.07	0.15
r_g3_n112	0.098	0.07	0.14
r_g3_n113	0.134	0.1	0.18
r_g3_n114	0.073	0.05	0.11
r_g3_n115	0.068	0.05	0.1
r_g3_n116	0.057	0.03	0.09
r_g3_n117	0.081	0.06	0.11
r_g3_n118	0.087	0.06	0.12
r_g3_n119	0.07	0.05	0.11
r_g3_n120	0.067	0.04	0.1
r_g3_n121	0.058	0.05	0.08
r_g3_n122	0.037	0.03	0.06
r_g3_n123	0.036	0.02	0.06
r_g3_n124	0.053	0.03	0.08
r_g3_n125	0.047	0.04	0.06
r_g3_n126	0.032	0.03	0.04
r_g3_n127	0.055	0.03	0.09
r_g3_n128	0.055	0.03	0.09
r_g3_n129	0.041	0.03	0.06
r_g3_n130	0.018	0.02	0.02
r_g3_n131	0.047	0.03	0.07
r_g3_n132	0.044	0.03	0.07
r_g3_n133	0.056	0.03	0.09
r_g3_n134	0.054	0.03	0.09
r_g3_n135	0.041	0.03	0.06
r_g3_n136	0.053	0.03	0.08
r_g3_n137	0.055	0.03	0.09
r_g3_n138	0.061	0.04	0.08
r_g3_n139	0.014	0.01	0.02
r_g3_n140	0.052	0.03	0.08
r_g3_n141	0.036	0.02	0.06
r_g3_n142	0.055	0.03	0.09
r_g3_n143	0.016	0.01	0.02
r_g4_n1	0.034	0.02	0.05
r_g4_n2	0.025	0.02	0.03
r_g4_n3	0.03	0.02	0.04
r_g4_n4	0.041	0.03	0.05
r_g4_n5	0.032	0.03	0.03
r_g4_n6	0.037	0.03	0.04
r_g4_n7	0.049	0.05	0.05
r_g4_n8	0.029	0.03	0.03
r_g4_n9	0.023	0.02	0.02
r_g4_n10	0.043	0.04	0.04
r_g4_n11	0.041	0.04	0.04
r_g4_n12	0.023	0.02	0.02
r_g4_n13	0.041	0.04	0.04
r_g4_n14	0.021	0.02	0.03
r_g4_n15	0.088	0.06	0.12
r_g4_n16	0.023	0.02	0.03
r_g4_n17	0.018	0.02	0.02
r_g4_n18	0.022	0.02	0.03
r_g4_n19	0.021	0.02	0.02
r_g4_n20	0.018	0.02	0.02
r_g4_n21	0.024	0.02	0.02
r_g4_n22	0.018	0.02	0.02
r_g4_n23	0.018	0.02	0.02
r_g4_n24	0.02	0.02	0.02
r_g4_n25	0.059	0.04	0.09
r_g4_n26	0.029	0.02	0.04
r_g4_n27	0.029	0.03	0.03
r_g4_n28	0.028	0.03	0.03
r_g4_n29	0.039	0.04	0.04
r_g4_n30	0.019	0.02	0.02
r_g4_n31	0.034	0.03	0.04
r_g4_n32	0.03	0.02	0.04
r_g4_n33	0.019	0.01	0.03
r_g4_n34	0.159	0.11	0.22
r_g4_n35	0.026	0.02	0.03
r_g4_n36	0.042	0.04	0.05
r_g4_n37	0.04	0.04	0.04
r_g4_n38	0.039	0.04	0.04
r_g4_n39	0.029	0.03	0.03
r_g4_n40	0.049	0.04	0.06
r_g4_n41	0.031	0.02	0.04
r_g4_n42	0.034	0.03	0.04
r_g4_n43	0.038	0.03	0.05
r_g4_n44	0.034	0.03	0.04
r_g4_n45	0.03	0.02	0.04
r_g4_n46	0.03	0.02	0.04
r_g4_n47	0.033	0.02	0.05
r_g4_n48	0.049	0.04	0.06
r_g4_n49	0.032	0.03	0.04
r_g4_n50	0.023	0.02	0.03
r_g4_n51	0.027	0.02	0.04
r_g4_n52	0.027	0.03	0.03
r_g4_n53	0.032	0.02	0.05
r_g4_n54	0.029	0.02	0.04
r_g4_n55	0.033	0.02	0.05
r_g4_n56	0.029	0.02	0.04
r_g4_n57	0.026	0.02	0.03
r_g4_n58	0.032	0.02	0.04
r_g4_n59	0.053	0.04	0.07
r_g4_n60	0.039	0.03	0.05
r_g4_n61	0.048	0.04	0.06
r_g4_n62	0.068	0.05	0.09
r_g4_n63	0.025	0.02	0.03
r_g4_n64	0.037	0.03	0.05
r_g4_n65	0.035	0.02	0.05
r_g4_n66	0.082	0.06	0.12
r_g4_n67	0.025	0.02	0.03
r_g4_n68	0.022	0.02	0.03
r_g4_n69	0.016	0.01	0.02
r_g4_n70	0.032	0.02	0.05
r_g4_n71	0.048	0.03	0.07
r_g4_n72	0.011	0.01	0.01
r_g4_n74	0.036	0.01	0.08
r_g4_n75	0.023	0.02	0.03
r_g4_n76	0.026	0.02	0.04
r_g4_n77	0.037	0.03	0.05
r_g4_n78	0.039	0.02	0.06
r_g4_n79	0.032	0.03	0.04
r_g4_n80	0.073	0.05	0.1
r_g4_n81	0.059	0.04	0.08
r_g4_n82	0.112	0.08	0.15
r_g4_n83	0.093	0.06	0.13
r_g4_n84	0.16	0.11	0.22
r_g4_n85	0.03	0.02	0.05
r_g4_n86	0.028	0.02	0.04
r_g4_n87	0.033	0.02	0.05
r_g4_n88	0.021	0.02	0.03
r_g4_n89	0.012	0.01	0.01
r_g4_n90	0.027	0.02	0.04
r_g4_n91	0.026	0.02	0.04
r_g4_n92	0.021	0.01	0.03
r_g4_n93	0.032	0.02	0.05
r_g4_n94	0.047	0.03	0.07
r_g4_n95	0.035	0.02	0.05
r_g4_n96	0.042	0.03	0.06
r_g4_n97	0.023	0.02	0.03
r_g4_n98	0.019	0.01	0.03
r_g4_n99	0.064	0.05	0.09
r_g4_n100	0.035	0.02	0.05
r_g4_n101	0.041	0.03	0.06
r_g4_n102	0.063	0.05	0.08
r_g4_n103	0.049	0.04	0.07
r_g4_n104	0.03	0.02	0.05
r_g4_n105	0.041	0.03	0.05
r_g4_n106	0.026	0.02	0.04
r_g4_n107	0.029	0.02	0.04
r_g4_n108	0.039	0.03	0.05
r_g4_n109	0.028	0.02	0.04
r_g4_n110	0.037	0.02	0.05
r_g4_n111	0.041	0.03	0.06
r_g4_n112	0.041	0.03	0.06
r_g4_n113	0.061	0.05	0.08
r_g4_n114	0.035	0.02	0.05
r_g4_n115	0.031	0.02	0.05
r_g4_n116	0.029	0.02	0.05
r_g4_n117	0.035	0.03	0.05
r_g4_n118	0.038	0.03	0.05
r_g4_n119	0.031	0.02	0.05
r_g4_n120	0.031	0.02	0.05
r_g4_n121	0.025	0.02	0.04
r_g4_n122	0.016	0.01	0.03
r_g4_n123	0.017	0.01	0.03
r_g4_n124	0.024	0.01	0.04
r_g4_n125	0.019	0.02	0.02
r_g4_n126	0.014	0.01	0.02
r_g4_n127	0.029	0.02	0.05
r_g4_n128	0.027	0.02	0.04
r_g4_n129	0.018	0.01	0.03
r_g4_n130	0.01	0.01	0.01
r_g4_n131	0.023	0.01	0.04
r_g4_n132	0.03	0.02	0.05
r_g4_n133	0.029	0.02	0.05
r_g4_n134	0.032	0.02	0.05
r_g4_n135	0.024	0.02	0.03
r_g4_n136	0.032	0.02	0.05
r_g4_n137	0.03	0.02	0.05
r_g4_n138	0.033	0.02	0.05
r_g4_n139	0.007	0.01	0.01
r_g4_n140	0.024	0.01	0.04
r_g4_n141	0.018	0.01	0.03
r_g4_n142	0.025	0.01	0.04
r_g4_n143	0.011	0.01	0.01
