Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g1_n1	0.12	0.06	0.17
r_g1_n2	0.135	0.11	0.16
r_g1_n3	0.134	0.11	0.17
r_g1_n4	0.153	0.12	0.2
r_g1_n5	0.109	0.1	0.12
r_g1_n6	0.144	0.13	0.15
r_g1_n7	0.222	0.22	0.23
r_g1_n8	0.151	0.15	0.16
r_g1_n9	0.084	0.08	0.09
r_g1_n10	0.259	0.25	0.26
r_g1_n11	0.222	0.22	0.23
r_g1_n12	0.123	0.12	0.13
r_g1_n13	0.167	0.16	0.18
r_g1_n14	0.151	0.11	0.2
r_g1_n15	0.153	0.11	0.21
r_g1_n16	0.111	0.08	0.15
r_g1_n17	0.12	0.11	0.13
r_g1_n18	0.135	0.12	0.16
r_g1_n19	0.095	0.08	0.11
r_g1_n20	0.099	0.1	0.1
r_g1_n21	0.105	0.1	0.11
r_g1_n22	0.12	0.11	0.13
r_g1_n23	0.083	0.08	0.09
r_g1_n24	0.089	0.08	0.1
r_g1_n25	0.116	0.08	0.17
r_g1_n26	0.09	0.06	0.13
r_g1_n27	0.162	0.16	0.16
r_g1_n28	0.12	0.11	0.13
r_g1_n29	0.208	0.2	0.22
r_g1_n30	0.146	0.14	0.15
r_g1_n31	0.171	0.14	0.22
r_g1_n32	0.137	0.11	0.17
r_g1_n33	0.072	0.05	0.1
r_g1_n34	0.148	0.1	0.21
r_g1_n35	0.16	0.13	0.2
r_g1_n36	0.248	0.21	0.31
r_g1_n37	0.246	0.24	0.26
r_g1_n38	0.226	0.21	0.24
r_g1_n39	0.189	0.17	0.21
r_g1_n40	0.221	0.17	0.29
r_g1_n41	0.203	0.16	0.26
r_g1_n42	0.203	0.17	0.25
r_g1_n43	0.254	0.21	0.31
r_g1_n44	0.208	0.17	0.26
r_g1_n45	0.187	0.14	0.24
r_g1_n46	0.177	0.13	0.24
r_g1_n47	0.185	0.13	0.25
r_g1_n48	0.259	0.24	0.3
r_g1_n49	0.182	0.15	0.21
r_g1_n50	0.107	0.07	0.15
r_g1_n51	0.159	0.11	0.23
r_g1_n52	0.14	0.13	0.15
r_g1_n53	0.132	0.1	0.19
r_g1_n54	0.166	0.12	0.24
r_g1_n55	0.159	0.11	0.23
r_g1_n56	0.134	0.09	0.2
r_g1_n57	0.132	0.11	0.16
r_g1_n58	0.115	0.09	0.14
r_g1_n59	0.135	0.1	0.17
r_g1_n60	0.127	0.09	0.16
r_g1_n61	0.13	0.1	0.17
r_g1_n62	0.144	0.1	0.2
r_g1_n63	0.083	0.06	0.11
r_g1_n64	0.147	0.11	0.19
r_g1_n65	0.097	0.07	0.14
r_g1_n66	0.12	0.08	0.17
r_g1_n67	0.095	0.08	0.11
r_g1_n68	0.082	0.07	0.1
r_g1_n69	0.064	0.06	0.07
r_g1_n70	0.091	0.06	0.13
r_g1_n71	0.098	0.06	0.14
r_g1_n72	0.056	0.05	0.06
r_g1_n74	0.167	0.06	0.38
r_g1_n75	0.139	0.11	0.18
r_g1_n76	0.165	0.1	0.27
r_g1_n77	0.195	0.15	0.26
r_g1_n78	0.23	0.15	0.35
r_g1_n79	0.218	0.18	0.29
r_g1_n80	0.597	0.43	0.79
r_g1_n81	0.39	0.28	0.54
r_g1_n82	0.874	0.65	1.18
r_g1_n83	0.659	0.46	0.92
r_g1_n84	0.943	0.68	1.27
r_g1_n85	0.216	0.13	0.33
r_g1_n86	0.181	0.14	0.26
r_g1_n87	0.174	0.1	0.27
r_g1_n88	0.159	0.13	0.21
r_g1_n89	0.1	0.09	0.11
r_g1_n90	0.212	0.13	0.32
r_g1_n91	0.206	0.13	0.32
r_g1_n92	0.179	0.1	0.29
r_g1_n93	0.195	0.12	0.3
r_g1_n94	0.377	0.26	0.54
r_g1_n95	0.234	0.15	0.36
r_g1_n96	0.28	0.19	0.41
r_g1_n97	0.159	0.14	0.18
r_g1_n98	0.108	0.08	0.14
r_g1_n99	0.485	0.38	0.65
r_g1_n100	0.213	0.14	0.32
r_g1_n101	0.377	0.26	0.54
r_g1_n102	0.49	0.4	0.6
r_g1_n103	0.437	0.33	0.59
r_g1_n104	0.241	0.15	0.37
r_g1_n105	0.327	0.25	0.42
r_g1_n106	0.184	0.12	0.28
r_g1_n107	0.205	0.13	0.31
r_g1_n108	0.243	0.2	0.3
r_g1_n109	0.174	0.11	0.27
r_g1_n110	0.293	0.2	0.43
r_g1_n111	0.37	0.26	0.53
r_g1_n112	0.358	0.25	0.51
r_g1_n113	0.434	0.32	0.58
r_g1_n114	0.25	0.17	0.37
r_g1_n115	0.239	0.16	0.35
r_g1_n116	0.187	0.11	0.3
r_g1_n117	0.292	0.22	0.39
r_g1_n118	0.317	0.24	0.43
r_g1_n119	0.258	0.17	0.39
r_g1_n120	0.218	0.14	0.33
r_g1_n121	0.187	0.14	0.27
r_g1_n122	0.118	0.08	0.2
r_g1_n123	0.12	0.08	0.19
r_g1_n124	0.181	0.1	0.29
r_g1_n125	0.171	0.14	0.21
r_g1_n126	0.104	0.09	0.13
r_g1_n127	0.167	0.1	0.27
r_g1_n128	0.175	0.1	0.28
r_g1_n129	0.141	0.1	0.22
r_g1_n130	0.058	0.05	0.06
r_g1_n131	0.168	0.11	0.26
r_g1_n132	0.143	0.09	0.23
r_g1_n133	0.171	0.1	0.27
r_g1_n134	0.18	0.11	0.29
r_g1_n135	0.12	0.08	0.17
r_g1_n136	0.147	0.09	0.24
r_g1_n137	0.161	0.1	0.25
r_g1_n138	0.159	0.11	0.22
r_g1_n139	0.044	0.04	0.06
r_g1_n140	0.169	0.1	0.27
r_g1_n141	0.112	0.07	0.17
r_g1_n142	0.169	0.1	0.27
r_g1_n143	0.047	0.04	0.06
r_g2_n1	0.08	0.04	0.11
r_g2_n2	0.074	0.06	0.09
r_g2_n3	0.08	0.06	0.1
r_g2_n4	0.092	0.07	0.12
r_g2_n5	0.072	0.07	0.08
r_g2_n6	0.094	0.09	0.1
r_g2_n7	0.13	0.13	0.13
r_g2_n8	0.088	0.09	0.09
r_g2_n9	0.052	0.05	0.05
r_g2_n10	0.144	0.14	0.15
r_g2_n11	0.127	0.12	0.13
r_g2_n12	0.074	0.07	0.08
r_g2_n13	0.099	0.09	0.1
r_g2_n14	0.078	0.06	0.1
r_g2_n15	0.121	0.08	0.17
r_g2_n16	0.068	0.05	0.09
r_g2_n17	0.065	0.06	0.07
r_g2_n18	0.075	0.07	0.09
r_g2_n19	0.055	0.05	0.06
r_g2_n20	0.056	0.05	0.06
r_g2_n21	0.063	0.06	0.07
r_g2_n22	0.064	0.06	0.07
r_g2_n23	0.053	0.05	0.06
r_g2_n24	0.053	0.04	0.06
