Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g1_n1	0.086	0.01	0.16
r_g1_n2	0.136	0.11	0.17
r_g1_n3	0.132	0.1	0.17
r_g1_n4	0.151	0.12	0.19
r_g1_n5	0.096	0.09	0.1
r_g1_n6	0.126	0.12	0.13
r_g1_n7	0.22	0.22	0.22
r_g1_n8	0.148	0.15	0.15
r_g1_n9	0.083	0.08	0.08
r_g1_n10	0.269	0.26	0.27
r_g1_n11	0.231	0.23	0.24
r_g1_n12	0.111	0.11	0.11
r_g1_n13	0.151	0.15	0.16
r_g1_n14	0.033	0.03	0.04
r_g1_n15	0.031	0.02	0.04
r_g1_n16	0.023	0.02	0.03
r_g1_n17	0.101	0.09	0.11
r_g1_n18	0.111	0.1	0.13
r_g1_n19	0.078	0.07	0.09
r_g1_n20	0.097	0.1	0.1
r_g1_n21	0.102	0.1	0.1
r_g1_n22	0.116	0.11	0.12
r_g1_n23	0.08	0.08	0.08
r_g1_n24	0.076	0.06	0.09
r_g1_n25	0.075	0.05	0.1
r_g1_n26	0.058	0.04	0.08
r_g1_n27	0.162	0.16	0.16
r_g1_n28	0.12	0.12	0.13
r_g1_n29	0.209	0.2	0.22
r_g1_n30	0.145	0.14	0.15
r_g1_n31	0.133	0.12	0.15
r_g1_n32	0.107	0.09	0.12
r_g1_n33	0.027	0.02	0.03
r_g1_n34	0.055	0.04	0.07
r_g1_n35	0.122	0.11	0.14
r_g1_n36	0.19	0.17	0.21
r_g1_n37	0.237	0.23	0.24
r_g1_n38	0.223	0.21	0.24
r_g1_n39	0.195	0.17	0.22
r_g1_n40	0.307	0.22	0.4
r_g1_n41	0.282	0.2	0.37
r_g1_n42	0.288	0.21	0.37
r_g1_n43	0.36	0.27	0.47
r_g1_n44	0.361	0.24	0.48
r_g1_n45	0.34	0.22	0.46
r_g1_n46	0.327	0.21	0.45
r_g1_n47	0.342	0.22	0.46
r_g1_n48	0.399	0.28	0.52
r_g1_n49	0.141	0.13	0.15
r_g1_n50	0.061	0.05	0.07
r_g1_n51	0.091	0.08	0.11
r_g1_n52	0.131	0.13	0.13
r_g1_n53	0.084	0.07	0.12
r_g1_n54	0.106	0.08	0.15
r_g1_n55	0.1	0.08	0.14
r_g1_n56	0.084	0.07	0.12
r_g1_n57	0.046	0.04	0.06
r_g1_n58	0.037	0.03	0.05
r_g1_n59	0.043	0.04	0.05
r_g1_n60	0.041	0.03	0.05
r_g1_n61	0.034	0.03	0.04
r_g1_n62	0.036	0.03	0.05
r_g1_n63	0.021	0.02	0.03
r_g1_n64	0.051	0.04	0.06
r_g1_n65	0.03	0.02	0.04
r_g1_n66	0.038	0.03	0.05
r_g1_n67	0.055	0.05	0.06
r_g1_n68	0.05	0.04	0.06
r_g1_n69	0.042	0.04	0.05
r_g1_n70	0.032	0.03	0.04
r_g1_n71	0.034	0.03	0.04
r_g1_n72	0.042	0.04	0.05
r_g1_n74	0.23	0.05	0.54
r_g1_n75	0.18	0.14	0.23
r_g1_n76	0.175	0.12	0.25
r_g1_n77	0.26	0.2	0.3
r_g1_n78	0.507	0.43	0.59
r_g1_n79	0.393	0.27	0.53
r_g1_n80	0.572	0.49	0.66
r_g1_n81	0.41	0.34	0.49
r_g1_n82	0.619	0.55	0.69
r_g1_n83	0.56	0.48	0.64
r_g1_n84	0.603	0.51	0.71
r_g1_n85	0.468	0.4	0.54
r_g1_n86	0.37	0.27	0.46
r_g1_n87	0.392	0.33	0.46
r_g1_n88	0.272	0.2	0.36
r_g1_n89	0.114	0.1	0.13
r_g1_n90	0.047	0.04	0.06
r_g1_n91	0.182	0.13	0.24
r_g1_n92	0.162	0.12	0.22
r_g1_n93	0.388	0.32	0.46
r_g1_n94	0.385	0.31	0.46
r_g1_n95	0.295	0.23	0.36
r_g1_n96	0.263	0.21	0.32
r_g1_n97	0.167	0.14	0.2
r_g1_n98	0.108	0.08	0.14
r_g1_n99	0.506	0.45	0.57
r_g1_n100	0.384	0.33	0.44
r_g1_n101	0.454	0.39	0.52
r_g1_n102	0.468	0.4	0.54
r_g1_n103	0.43	0.36	0.51
r_g1_n104	0.391	0.32	0.48
r_g1_n105	0.393	0.32	0.49
r_g1_n106	0.231	0.17	0.3
r_g1_n107	0.267	0.21	0.33
r_g1_n108	0.239	0.21	0.27
r_g1_n109	0.219	0.17	0.28
r_g1_n110	0.353	0.27	0.45
r_g1_n111	0.313	0.23	0.41
r_g1_n112	0.281	0.21	0.37
r_g1_n113	0.253	0.2	0.32
r_g1_n114	0.347	0.26	0.45
r_g1_n115	0.357	0.26	0.47
r_g1_n116	0.339	0.25	0.44
r_g1_n117	0.391	0.29	0.51
r_g1_n118	0.417	0.29	0.55
r_g1_n119	0.409	0.28	0.54
r_g1_n120	0.375	0.25	0.51
r_g1_n121	0.346	0.29	0.41
r_g1_n122	0.241	0.17	0.31
