Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g1_n123	0.148	0.11	0.2
r_g1_n124	0.288	0.23	0.36
r_g1_n125	0.186	0.15	0.22
r_g1_n126	0.108	0.08	0.13
r_g1_n127	0.107	0.08	0.15
r_g1_n128	0.111	0.08	0.15
r_g1_n129	0.115	0.09	0.14
r_g1_n130	0.092	0.08	0.11
r_g1_n131	0.075	0.06	0.09
r_g1_n132	0.057	0.05	0.07
r_g1_n133	0.056	0.04	0.07
r_g1_n134	0.057	0.05	0.07
r_g1_n135	0.048	0.04	0.06
r_g1_n136	0.04	0.03	0.05
r_g1_n137	0.068	0.05	0.08
r_g1_n138	0.058	0.05	0.07
r_g1_n139	0.074	0.06	0.09
r_g1_n140	0.07	0.06	0.09
r_g1_n141	0.057	0.04	0.07
r_g1_n142	0.052	0.04	0.06
r_g1_n143	0.047	0.04	0.06
r_g2_n1	0.057	0	0.1
r_g2_n2	0.075	0.06	0.09
r_g2_n3	0.079	0.06	0.1
r_g2_n4	0.09	0.07	0.12
r_g2_n5	0.063	0.06	0.07
r_g2_n6	0.082	0.08	0.09
r_g2_n7	0.128	0.13	0.13
r_g2_n8	0.086	0.08	0.09
r_g2_n9	0.051	0.05	0.05
r_g2_n10	0.15	0.15	0.15
r_g2_n11	0.132	0.13	0.13
r_g2_n12	0.066	0.06	0.07
r_g2_n13	0.089	0.09	0.09
r_g2_n14	0.017	0.01	0.02
r_g2_n15	0.025	0.02	0.04
r_g2_n16	0.014	0.01	0.02
r_g2_n17	0.054	0.05	0.06
r_g2_n18	0.061	0.05	0.07
r_g2_n19	0.045	0.04	0.05
r_g2_n20	0.055	0.05	0.06
r_g2_n21	0.062	0.06	0.06
r_g2_n22	0.062	0.06	0.06
r_g2_n23	0.051	0.05	0.05
r_g2_n24	0.045	0.04	0.06
r_g2_n25	0.06	0.04	0.08
r_g2_n26	0.036	0.03	0.05
r_g2_n27	0.089	0.09	0.09
r_g2_n28	0.071	0.07	0.07
r_g2_n29	0.119	0.11	0.12
r_g2_n30	0.074	0.07	0.08
r_g2_n31	0.081	0.07	0.09
r_g2_n32	0.068	0.06	0.08
r_g2_n33	0.017	0.01	0.02
r_g2_n34	0.052	0.04	0.07
r_g2_n35	0.067	0.06	0.08
r_g2_n36	0.106	0.09	0.12
r_g2_n37	0.127	0.12	0.13
r_g2_n38	0.127	0.12	0.14
r_g2_n39	0.108	0.1	0.12
r_g2_n40	0.183	0.13	0.24
r_g2_n41	0.139	0.1	0.18
r_g2_n42	0.153	0.11	0.2
r_g2_n43	0.191	0.14	0.25
r_g2_n44	0.193	0.13	0.26
r_g2_n45	0.188	0.12	0.25
r_g2_n46	0.183	0.12	0.25
r_g2_n47	0.197	0.13	0.27
r_g2_n48	0.213	0.15	0.28
r_g2_n49	0.075	0.07	0.08
r_g2_n50	0.035	0.03	0.04
r_g2_n51	0.048	0.04	0.06
r_g2_n52	0.075	0.07	0.08
r_g2_n53	0.05	0.04	0.07
r_g2_n54	0.062	0.05	0.09
r_g2_n55	0.058	0.04	0.08
r_g2_n56	0.05	0.04	0.07
r_g2_n57	0.026	0.02	0.03
r_g2_n58	0.024	0.02	0.03
r_g2_n59	0.03	0.02	0.04
r_g2_n60	0.025	0.02	0.03
r_g2_n61	0.022	0.02	0.03
r_g2_n62	0.024	0.02	0.03
r_g2_n63	0.013	0.01	0.02
r_g2_n64	0.031	0.03	0.04
r_g2_n65	0.018	0.01	0.02
r_g2_n66	0.031	0.02	0.04
r_g2_n67	0.035	0.03	0.04
r_g2_n68	0.032	0.03	0.04
r_g2_n69	0.027	0.02	0.03
r_g2_n70	0.021	0.02	0.03
r_g2_n71	0.026	0.02	0.03
r_g2_n72	0.026	0.02	0.03
r_g2_n74	0.145	0.04	0.3
r_g2_n75	0.103	0.08	0.13
r_g2_n76	0.097	0.06	0.14
r_g2_n77	0.151	0.12	0.17
r_g2_n78	0.282	0.24	0.33
r_g2_n79	0.223	0.15	0.3
r_g2_n80	0.292	0.25	0.34
r_g2_n81	0.228	0.19	0.28
r_g2_n82	0.315	0.28	0.35
r_g2_n83	0.296	0.25	0.34
r_g2_n84	0.327	0.28	0.38
r_g2_n85	0.262	0.22	0.3
r_g2_n86	0.202	0.15	0.25
r_g2_n87	0.219	0.18	0.26
r_g2_n88	0.146	0.1	0.19
r_g2_n89	0.059	0.05	0.07
r_g2_n90	0.025	0.02	0.03
r_g2_n91	0.09	0.07	0.12
r_g2_n92	0.078	0.06	0.1
r_g2_n93	0.208	0.17	0.25
r_g2_n94	0.203	0.16	0.24
r_g2_n95	0.161	0.13	0.19
r_g2_n96	0.148	0.12	0.18
r_g2_n97	0.089	0.08	0.11
r_g2_n98	0.06	0.05	0.08
r_g2_n99	0.261	0.23	0.29
r_g2_n100	0.217	0.19	0.25
r_g2_n101	0.222	0.19	0.26
r_g2_n102	0.241	0.21	0.28
r_g2_n103	0.219	0.19	0.26
r_g2_n104	0.176	0.14	0.22
r_g2_n105	0.211	0.17	0.26
r_g2_n106	0.126	0.1	0.16
r_g2_n107	0.149	0.12	0.18
r_g2_n108	0.132	0.12	0.15
r_g2_n109	0.127	0.1	0.16
r_g2_n110	0.173	0.13	0.22
r_g2_n111	0.153	0.11	0.2
r_g2_n112	0.133	0.1	0.17
r_g2_n113	0.134	0.11	0.17
r_g2_n114	0.176	0.13	0.23
r_g2_n115	0.179	0.13	0.24
r_g2_n116	0.175	0.13	0.23
r_g2_n117	0.191	0.14	0.25
r_g2_n118	0.199	0.14	0.26
r_g2_n119	0.196	0.13	0.26
r_g2_n120	0.192	0.13	0.26
r_g2_n121	0.188	0.16	0.22
r_g2_n122	0.13	0.09	0.17
r_g2_n123	0.077	0.06	0.1
r_g2_n124	0.148	0.12	0.18
r_g2_n125	0.091	0.08	0.11
r_g2_n126	0.057	0.04	0.07
r_g2_n127	0.059	0.04	0.08
r_g2_n128	0.059	0.04	0.08
r_g2_n129	0.06	0.05	0.07
r_g2_n130	0.051	0.04	0.06
r_g2_n131	0.036	0.03	0.04
r_g2_n132	0.03	0.02	0.04
r_g2_n133	0.028	0.02	0.03
r_g2_n134	0.028	0.02	0.03
r_g2_n135	0.026	0.02	0.03
r_g2_n136	0.02	0.02	0.02
r_g2_n137	0.039	0.03	0.05
r_g2_n138	0.034	0.03	0.04
r_g2_n139	0.04	0.03	0.05
r_g2_n140	0.036	0.03	0.04
r_g2_n141	0.032	0.03	0.04
r_g2_n142	0.031	0.03	0.04
r_g2_n143	0.027	0.02	0.03
r_g3_n1	0.04	0	0.07
r_g3_n2	0.047	0.04	0.06
r_g3_n3	0.05	0.04	0.06
r_g3_n4	0.06	0.05	0.08
r_g3_n5	0.046	0.04	0.05
r_g3_n6	0.056	0.05	0.06
r_g3_n7	0.087	0.09	0.09
r_g3_n8	0.055	0.05	0.06
r_g3_n9	0.038	0.04	0.04
r_g3_n10	0.092	0.09	0.09
r_g3_n11	0.083	0.08	0.08
r_g3_n12	0.041	0.04	0.04
r_g3_n13	0.064	0.06	0.07
r_g3_n14	0.009	0.01	0.01
r_g3_n15	0.021	0.02	0.03
r_g3_n16	0.008	0.01	0.01
r_g3_n17	0.031	0.03	0.04
r_g3_n18	0.036	0.03	0.04
r_g3_n19	0.03	0.03	0.03
r_g3_n20	0.035	0.03	0.04
r_g3_n21	0.041	0.04	0.04
r_g3_n22	0.037	0.04	0.04
r_g3_n23	0.034	0.03	0.04
r_g3_n24	0.029	0.02	0.04
r_g3_n25	0.051	0.04	0.07
r_g3_n26	0.025	0.02	0.03
r_g3_n27	0.056	0.06	0.06
r_g3_n28	0.047	0.05	0.05
r_g3_n29	0.076	0.07	0.08
r_g3_n30	0.042	0.04	0.04
r_g3_n31	0.051	0.04	0.06
r_g3_n32	0.044	0.04	0.05
r_g3_n33	0.011	0.01	0.01
r_g3_n34	0.056	0.04	0.07
r_g3_n35	0.04	0.04	0.04
r_g3_n36	0.066	0.06	0.07
r_g3_n37	0.08	0.08	0.08
r_g3_n38	0.08	0.07	0.09
r_g3_n39	0.065	0.06	0.07
r_g3_n40	0.115	0.08	0.15
r_g3_n41	0.083	0.06	0.11
r_g3_n42	0.088	0.06	0.11
r_g3_n43	0.106	0.08	0.14
r_g3_n44	0.118	0.08	0.16
r_g3_n45	0.11	0.07	0.15
r_g3_n46	0.111	0.07	0.15
r_g3_n47	0.125	0.08	0.17
r_g3_n48	0.133	0.09	0.17
r_g3_n49	0.047	0.04	0.05
r_g3_n50	0.021	0.02	0.03
r_g3_n51	0.029	0.02	0.03
r_g3_n52	0.048	0.05	0.05
r_g3_n53	0.034	0.03	0.05
r_g3_n54	0.038	0.03	0.05
r_g3_n55	0.036	0.03	0.05
r_g3_n56	0.031	0.02	0.04
r_g3_n57	0.016	0.01	0.02
r_g3_n58	0.014	0.01	0.02
r_g3_n59	0.021	0.02	0.03
r_g3_n60	0.017	0.01	0.02
r_g3_n61	0.016	0.01	0.02
r_g3_n62	0.018	0.01	0.02
r_g3_n63	0.009	0.01	0.01
r_g3_n64	0.02	0.02	0.02
r_g3_n65	0.013	0.01	0.02
r_g3_n66	0.025	0.02	0.03
r_g3_n67	0.024	0.02	0.03
r_g3_n68	0.022	0.02	0.03
r_g3_n69	0.018	0.02	0.02
r_g3_n70	0.017	0.01	0.02
r_g3_n71	0.023	0.02	0.03
r_g3_n72	0.016	0.01	0.02
r_g3_n74	0.108	0.03	0.23
r_g3_n75	0.064	0.05	0.08
r_g3_n76	0.058	0.04	0.08
r_g3_n77	0.098	0.07	0.11
r_g3_n78	0.178	0.15	0.21
r_g3_n79	0.135	0.09	0.18
r_g3_n80	0.17	0.14	0.2
r_g3_n81	0.144	0.12	0.17
r_g3_n82	0.185	0.16	0.21
r_g3_n83	0.178	0.15	0.2
r_g3_n84	0.206	0.17	0.24
r_g3_n85	0.149	0.13	0.17
r_g3_n86	0.128	0.09	0.16
r_g3_n87	0.142	0.12	0.17
r_g3_n88	0.083	0.06	0.11
r_g3_n89	0.033	0.03	0.04
r_g3_n90	0.014	0.01	0.02
r_g3_n91	0.051	0.04	0.07
r_g3_n92	0.043	0.03	0.06
r_g3_n93	0.138	0.11	0.16
r_g3_n94	0.121	0.1	0.14
r_g3_n95	0.097	0.08	0.12
r_g3_n96	0.091	0.07	0.11
r_g3_n97	0.054	0.05	0.06
r_g3_n98	0.038	0.03	0.05
r_g3_n99	0.156	0.14	0.17
r_g3_n100	0.141	0.12	0.16
r_g3_n101	0.135	0.12	0.16
r_g3_n102	0.14	0.12	0.16
r_g3_n103	0.119	0.1	0.14
r_g3_n104	0.115	0.09	0.14
r_g3_n105	0.123	0.1	0.15
r_g3_n106	0.075	0.06	0.1
r_g3_n107	0.09	0.07	0.11
r_g3_n108	0.08	0.07	0.09
r_g3_n109	0.08	0.06	0.1
r_g3_n110	0.103	0.08	0.13
r_g3_n111	0.088	0.07	0.12
r_g3_n112	0.077	0.06	0.1
r_g3_n113	0.078	0.06	0.1
r_g3_n114	0.102	0.08	0.13
r_g3_n115	0.101	0.07	0.13
r_g3_n116	0.102	0.08	0.13
r_g3_n117	0.108	0.08	0.14
r_g3_n118	0.115	0.08	0.15
r_g3_n119	0.112	0.08	0.15
r_g3_n120	0.115	0.08	0.16
r_g3_n121	0.108	0.09	0.13
r_g3_n122	0.076	0.05	0.1
r_g3_n123	0.045	0.03	0.06
r_g3_n124	0.084	0.07	0.1
r_g3_n125	0.051	0.04	0.06
r_g3_n126	0.033	0.03	0.04
r_g3_n127	0.035	0.03	0.05
r_g3_n128	0.035	0.03	0.05
r_g3_n129	0.033	0.03	0.04
r_g3_n130	0.029	0.02	0.04
r_g3_n131	0.021	0.02	0.03
r_g3_n132	0.018	0.01	0.02
r_g3_n133	0.018	0.01	0.02
r_g3_n134	0.017	0.01	0.02
r_g3_n135	0.016	0.01	0.02
r_g3_n136	0.014	0.01	0.02
r_g3_n137	0.024	0.02	0.03
r_g3_n138	0.022	0.02	0.03
r_g3_n139	0.024	0.02	0.03
r_g3_n140	0.021	0.02	0.03
r_g3_n141	0.018	0.01	0.02
r_g3_n142	0.017	0.01	0.02
r_g3_n143	0.016	0.01	0.02
r_g4_n1	0.022	0	0.04
r_g4_n2	0.025	0.02	0.03
r_g4_n3	0.029	0.02	0.04
r_g4_n4	0.041	0.03	0.05
r_g4_n5	0.028	0.03	0.03
r_g4_n6	0.033	0.03	0.03
r_g4_n7	0.048	0.05	0.05
r_g4_n8	0.028	0.03	0.03
r_g4_n9	0.023	0.02	0.02
r_g4_n10	0.045	0.04	0.05
r_g4_n11	0.042	0.04	0.04
r_g4_n12	0.021	0.02	0.02
r_g4_n13	0.037	0.04	0.04
r_g4_n14	0.005	0	0.01
r_g4_n15	0.018	0.01	0.03
r_g4_n16	0.005	0	0.01
r_g4_n17	0.015	0.01	0.02
r_g4_n18	0.018	0.02	0.02
r_g4_n19	0.017	0.02	0.02
r_g4_n20	0.018	0.02	0.02
r_g4_n21	0.023	0.02	0.02
r_g4_n22	0.017	0.02	0.02
r_g4_n23	0.017	0.02	0.02
r_g4_n24	0.017	0.01	0.02
r_g4_n25	0.038	0.03	0.05
r_g4_n26	0.018	0.01	0.02
r_g4_n27	0.029	0.03	0.03
r_g4_n28	0.028	0.03	0.03
r_g4_n29	0.039	0.04	0.04
r_g4_n30	0.018	0.02	0.02
r_g4_n31	0.026	0.02	0.03
r_g4_n32	0.023	0.02	0.03
r_g4_n33	0.007	0.01	0.01
r_g4_n34	0.059	0.05	0.07
r_g4_n35	0.02	0.02	0.02
r_g4_n36	0.033	0.03	0.04
r_g4_n37	0.038	0.04	0.04
r_g4_n38	0.039	0.04	0.04
r_g4_n39	0.03	0.03	0.03
r_g4_n40	0.068	0.05	0.09
r_g4_n41	0.044	0.03	0.06
r_g4_n42	0.048	0.04	0.06
r_g4_n43	0.054	0.04	0.07
r_g4_n44	0.058	0.04	0.08
r_g4_n45	0.055	0.04	0.07
r_g4_n46	0.056	0.04	0.08
r_g4_n47	0.061	0.04	0.08
r_g4_n48	0.075	0.05	0.1
r_g4_n49	0.025	0.02	0.03
r_g4_n50	0.013	0.01	0.02
r_g4_n51	0.016	0.01	0.02
r_g4_n52	0.025	0.02	0.03
r_g4_n53	0.02	0.02	0.03
r_g4_n54	0.019	0.01	0.03
r_g4_n55	0.021	0.02	0.03
r_g4_n56	0.018	0.01	0.03
r_g4_n57	0.009	0.01	0.01
r_g4_n58	0.01	0.01	0.01
r_g4_n59	0.017	0.01	0.02
r_g4_n60	0.012	0.01	0.02
r_g4_n61	0.013	0.01	0.02
r_g4_n62	0.017	0.01	0.02
r_g4_n63	0.006	0	0.01
r_g4_n64	0.013	0.01	0.02
r_g4_n65	0.011	0.01	0.01
r_g4_n66	0.026	0.02	0.03
r_g4_n67	0.015	0.01	0.02
r_g4_n68	0.013	0.01	0.02
r_g4_n69	0.011	0.01	0.01
r_g4_n70	0.011	0.01	0.01
r_g4_n71	0.017	0.01	0.02
r_g4_n72	0.008	0.01	0.01
r_g4_n74	0.066	0.02	0.14
r_g4_n75	0.03	0.02	0.04
r_g4_n76	0.028	0.02	0.04
r_g4_n77	0.049	0.04	0.06
r_g4_n78	0.084	0.07	0.1
r_g4_n79	0.057	0.04	0.08
r_g4_n80	0.07	0.06	0.08
r_g4_n81	0.062	0.05	0.07
r_g4_n82	0.079	0.07	0.09
r_g4_n83	0.079	0.07	0.09
r_g4_n84	0.102	0.09	0.12
r_g4_n85	0.067	0.06	0.08
r_g4_n86	0.057	0.04	0.07
r_g4_n87	0.069	0.06	0.08
r_g4_n88	0.036	0.03	0.05
r_g4_n89	0.014	0.01	0.02
r_g4_n90	0.006	0	0.01
r_g4_n91	0.023	0.02	0.03
r_g4_n92	0.019	0.01	0.03
r_g4_n93	0.064	0.05	0.08
r_g4_n94	0.048	0.04	0.06
r_g4_n95	0.044	0.04	0.05
r_g4_n96	0.04	0.03	0.05
r_g4_n97	0.024	0.02	0.03
r_g4_n98	0.019	0.01	0.02
r_g4_n99	0.067	0.06	0.07
r_g4_n100	0.059	0.05	0.07
r_g4_n101	0.05	0.04	0.06
r_g4_n102	0.06	0.05	0.07
r_g4_n103	0.048	0.04	0.06
r_g4_n104	0.049	0.04	0.06
r_g4_n105	0.049	0.04	0.06
r_g4_n106	0.033	0.02	0.04
r_g4_n107	0.038	0.03	0.05
r_g4_n108	0.038	0.03	0.04
r_g4_n109	0.036	0.03	0.05
r_g4_n110	0.045	0.03	0.06
r_g4_n111	0.034	0.03	0.05
r_g4_n112	0.032	0.02	0.04
r_g4_n113	0.036	0.03	0.05
r_g4_n114	0.049	0.04	0.06
r_g4_n115	0.047	0.03	0.06
r_g4_n116	0.052	0.04	0.07
r_g4_n117	0.047	0.04	0.06
r_g4_n118	0.051	0.04	0.07
r_g4_n119	0.049	0.03	0.07
r_g4_n120	0.053	0.03	0.07
r_g4_n121	0.046	0.04	0.06
r_g4_n122	0.033	0.02	0.04
r_g4_n123	0.02	0.01	0.03
r_g4_n124	0.038	0.03	0.05
r_g4_n125	0.021	0.02	0.03
r_g4_n126	0.015	0.01	0.02
r_g4_n127	0.018	0.01	0.03
r_g4_n128	0.017	0.01	0.02
r_g4_n129	0.014	0.01	0.02
r_g4_n130	0.016	0.01	0.02
r_g4_n131	0.01	0.01	0.01
r_g4_n132	0.012	0.01	0.01
r_g4_n133	0.01	0.01	0.01
r_g4_n134	0.01	0.01	0.01
r_g4_n135	0.009	0.01	0.01
r_g4_n136	0.009	0.01	0.01
r_g4_n137	0.013	0.01	0.02
r_g4_n138	0.012	0.01	0.01
r_g4_n139	0.011	0.01	0.01
r_g4_n140	0.01	0.01	0.01
r_g4_n141	0.009	0.01	0.01
r_g4_n142	0.008	0.01	0.01
r_g4_n143	0.011	0.01	0.01
