Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g2_n17	0.064	0.06	0.07
r_g2_n18	0.075	0.07	0.08
r_g2_n19	0.056	0.05	0.06
r_g2_n20	0.05	0.05	0.05
r_g2_n21	0.058	0.06	0.06
r_g2_n22	0.06	0.06	0.06
r_g2_n23	0.05	0.05	0.05
r_g2_n24	0.054	0.05	0.06
r_g2_n25	0.085	0.07	0.11
r_g2_n26	0.05	0.04	0.06
r_g2_n27	0.075	0.07	0.08
r_g2_n28	0.07	0.06	0.07
r_g2_n29	0.116	0.11	0.12
r_g2_n30	0.067	0.06	0.07
r_g2_n31	0.091	0.08	0.11
r_g2_n32	0.076	0.07	0.09
r_g2_n33	0.038	0.03	0.05
r_g2_n34	0.116	0.09	0.15
r_g2_n35	0.077	0.07	0.09
r_g2_n36	0.122	0.11	0.14
r_g2_n37	0.119	0.11	0.12
r_g2_n38	0.116	0.11	0.12
r_g2_n39	0.094	0.09	0.1
r_g2_n40	0.113	0.1	0.13
r_g2_n41	0.085	0.07	0.1
r_g2_n42	0.093	0.08	0.11
r_g2_n43	0.115	0.1	0.13
r_g2_n44	0.096	0.08	0.11
r_g2_n45	0.087	0.07	0.1
r_g2_n46	0.081	0.06	0.1
r_g2_n47	0.088	0.07	0.11
r_g2_n48	0.129	0.12	0.14
r_g2_n49	0.084	0.07	0.1
r_g2_n50	0.049	0.04	0.06
r_g2_n51	0.068	0.05	0.09
r_g2_n52	0.071	0.07	0.08
r_g2_n53	0.065	0.05	0.08
r_g2_n54	0.08	0.06	0.1
r_g2_n55	0.076	0.06	0.09
r_g2_n56	0.066	0.05	0.08
r_g2_n57	0.067	0.06	0.08
r_g2_n58	0.064	0.05	0.08
r_g2_n59	0.081	0.07	0.1
r_g2_n60	0.068	0.06	0.08
r_g2_n61	0.071	0.06	0.09
r_g2_n62	0.082	0.06	0.1
r_g2_n63	0.046	0.04	0.06
r_g2_n64	0.077	0.06	0.09
r_g2_n65	0.049	0.04	0.06
r_g2_n66	0.084	0.06	0.11
r_g2_n67	0.057	0.05	0.06
r_g2_n68	0.052	0.04	0.06
r_g2_n69	0.042	0.04	0.05
r_g2_n70	0.049	0.04	0.07
r_g2_n71	0.063	0.05	0.08
r_g2_n72	0.037	0.03	0.04
r_g2_n74	0.08	0.04	0.15
r_g2_n75	0.07	0.06	0.08
r_g2_n76	0.078	0.05	0.11
r_g2_n77	0.12	0.11	0.14
r_g2_n78	0.077	0.05	0.11
r_g2_n79	0.075	0.05	0.11
r_g2_n80	0.091	0.07	0.12
r_g2_n81	0.076	0.05	0.11
r_g2_n82	0.083	0.06	0.12
r_g2_n83	0.073	0.05	0.1
r_g2_n84	0.11	0.08	0.15
r_g2_n85	0.075	0.05	0.11
r_g2_n86	0.075	0.06	0.11
r_g2_n87	0.072	0.05	0.1
r_g2_n88	0.061	0.05	0.07
r_g2_n89	0.051	0.05	0.06
r_g2_n90	0.091	0.06	0.13
r_g2_n91	0.082	0.06	0.12
r_g2_n92	0.073	0.05	0.1
r_g2_n93	0.071	0.05	0.1
r_g2_n94	0.124	0.1	0.16
r_g2_n95	0.091	0.06	0.13
r_g2_n96	0.103	0.08	0.14
r_g2_n97	0.079	0.07	0.09
r_g2_n98	0.064	0.05	0.08
r_g2_n99	0.089	0.06	0.12
r_g2_n100	0.083	0.06	0.12
r_g2_n101	0.101	0.07	0.14
r_g2_n102	0.14	0.12	0.17
r_g2_n103	0.107	0.08	0.14
r_g2_n104	0.08	0.06	0.11
r_g2_n105	0.163	0.14	0.2
r_g2_n106	0.086	0.06	0.12
r_g2_n107	0.097	0.07	0.13
r_g2_n108	0.119	0.1	0.14
r_g2_n109	0.085	0.06	0.12
