Calib;node;Prior
METAZOA;55;B(5.5285,8.33,0.001,1e-300)
EUMETAZOA;58;B(5.5285,6.361,0.001,0.025)
CNIDARIA;59;B(5.29,6.361,0.001,0.025)
BILATERIA;63;B(5.5285,6.361,0.001,0.025)
DEUTEROSTOMIA;64;B(5.155,6.361,0.001,0.025)
OLFACTORES;65;B(5.14,6.361,0.001,0.025)
EUARTHROPODA;66;B(5.14,6.361,0.001,0.025)
VERTEBRATA;68;B(4.575,6.361,0.001,0.025)
GNATHOSTOMATA;69;B(4.207,4.684,0.001,0.025)
OSTEICHTHYES;70;B(4.207,4.537,0.001,0.025)
TETRAPODA;71;B(3.37,3.51,0.001,0.025)
AMNIOTA;72;B(3.18,3.329,0.001,0.025)
MAMMALIA;73;B(1.649,2.015,0.001,0.025)
EUARCHONTOGLIRES;74;B(0.616,1.646,0.001,0.025)
CYCLOSTOMATA;75;B(3.585,6.361,0.001,0.025)
XENAMBULACRARIA;76;B(5.155,6.361,0.001,0.025)
AMBULACRARIA;77;B(5.155,6.361,0.001,0.025)
HEMICHORDATA;80;B(5.045,6.361,0.001,0.025)
PROTOSTOMIA;82;B(5.5285,6.361,0.001,0.025)
ANNELIDS-MOLLUSCS;85;B(5.34,6.361,0.001,0.025)
CAPITELLID-POLYCHETE-LEECH;86;B(4.765,6.361,0.001,0.025)
MOLLUSCA;90;B(5.34,5.49,0.001,0.025)
BIVALVE-GASTROPOD;91;B(5.30,5.49,0.001,0.025)
GASTROPODA;92;B(4.702,5.49,0.001,0.025)
ECDYSOZOA;96;B(5.2882,6.361,0.001,0.025)
NEMATODA-ARTHROPODA;97;B(5.2882,6.361,0.001,0.025)
LOBOPODIA;98;B(5.2882,6.361,0.001,0.025)
CHORDATA;99;B(5.14,6.361,0.001,0.025)
MANDIBULATA;100;B(5.14,5.3122,0.001,0.025)
PANCRUSTACEA;101;B(5.14,5.3122,0.001,0.025)
COPEPODA-BRANCHIOPODA;102;B(4.99,5.3122,0.001,0.025)
EUMETABOLA;105;B(3.055,4.136,0.001,0.025)
PYCNOGONIDA-OTHER-CHELICERATES;106;B(4.975,5.3122,0.001,0.025)
ACARI-ARENACEA;107;B(4.16,5.3122,0.001,0.025)
