Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g1_n107	0.052	0	0.24
r_g1_n108	0.052	0	0.23
r_g1_n109	0.052	0	0.23
r_g1_n110	0.052	0	0.23
r_g1_n111	0.052	0	0.23
r_g1_n112	0.052	0	0.23
r_g1_n113	0.052	0	0.24
r_g1_n114	0.052	0	0.24
r_g1_n115	0.052	0	0.23
r_g1_n116	0.052	0	0.23
r_g1_n117	0.052	0	0.23
r_g1_n118	0.052	0	0.24
r_g1_n119	0.052	0	0.23
r_g1_n120	0.052	0	0.24
r_g1_n121	0.052	0	0.23
r_g1_n122	0.052	0	0.23
r_g1_n123	0.052	0	0.24
r_g1_n124	0.052	0	0.23
r_g1_n125	0.052	0	0.23
r_g1_n126	0.052	0	0.23
r_g1_n127	0.052	0	0.23
r_g1_n128	0.052	0	0.23
r_g1_n129	0.052	0	0.23
r_g1_n130	0.052	0	0.23
r_g1_n131	0.052	0	0.23
r_g1_n132	0.052	0	0.23
r_g1_n133	0.052	0	0.23
r_g1_n134	0.052	0	0.23
r_g1_n135	0.052	0	0.23
r_g1_n136	0.052	0	0.24
r_g1_n137	0.052	0	0.23
r_g1_n138	0.052	0	0.23
r_g1_n139	0.052	0	0.24
r_g1_n140	0.052	0	0.23
r_g1_n141	0.052	0	0.24
r_g1_n142	0.052	0	0.23
r_g1_n143	0.052	0	0.24
r_g2_n1	0.05	0	0.23
r_g2_n2	0.05	0	0.23
r_g2_n3	0.05	0	0.23
r_g2_n4	0.05	0	0.22
r_g2_n5	0.05	0	0.23
r_g2_n6	0.05	0	0.22
r_g2_n7	0.05	0	0.23
r_g2_n8	0.05	0	0.23
r_g2_n9	0.05	0	0.23
r_g2_n10	0.05	0	0.22
r_g2_n11	0.05	0	0.23
r_g2_n12	0.05	0	0.23
r_g2_n13	0.05	0	0.22
r_g2_n14	0.05	0	0.23
r_g2_n15	0.05	0	0.23
r_g2_n16	0.05	0	0.23
r_g2_n17	0.05	0	0.23
r_g2_n18	0.05	0	0.22
r_g2_n19	0.05	0	0.22
r_g2_n20	0.05	0	0.22
r_g2_n21	0.05	0	0.23
r_g2_n22	0.05	0	0.23
r_g2_n23	0.05	0	0.22
r_g2_n24	0.05	0	0.23
r_g2_n25	0.05	0	0.23
r_g2_n26	0.05	0	0.23
r_g2_n27	0.05	0	0.23
r_g2_n28	0.05	0	0.23
r_g2_n29	0.05	0	0.22
r_g2_n30	0.05	0	0.22
r_g2_n31	0.05	0	0.22
r_g2_n32	0.05	0	0.23
r_g2_n33	0.05	0	0.23
r_g2_n34	0.05	0	0.23
r_g2_n35	0.05	0	0.23
