Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g3_n101	0.068	0	0.25
r_g3_n102	0.068	0	0.25
r_g3_n103	0.068	0	0.25
r_g3_n104	0.068	0	0.25
r_g3_n105	0.068	0	0.25
r_g3_n106	0.068	0	0.25
r_g3_n107	0.068	0	0.25
r_g3_n108	0.068	0	0.26
r_g3_n109	0.068	0	0.26
r_g3_n110	0.068	0	0.25
r_g3_n111	0.068	0	0.25
r_g3_n112	0.068	0	0.25
r_g3_n113	0.068	0	0.25
r_g3_n114	0.068	0	0.26
r_g3_n115	0.068	0	0.26
r_g3_n116	0.068	0	0.26
r_g3_n117	0.068	0	0.26
r_g3_n118	0.068	0	0.26
r_g3_n119	0.068	0	0.26
r_g3_n120	0.068	0	0.26
r_g3_n121	0.068	0	0.25
r_g3_n122	0.068	0	0.25
r_g3_n123	0.068	0	0.25
r_g3_n124	0.068	0	0.25
r_g3_n125	0.068	0	0.25
r_g3_n126	0.068	0	0.25
r_g3_n127	0.068	0	0.26
r_g3_n128	0.068	0	0.26
r_g3_n129	0.068	0	0.25
r_g3_n130	0.068	0	0.25
r_g3_n131	0.068	0	0.25
r_g3_n132	0.068	0	0.25
r_g3_n133	0.068	0	0.25
r_g3_n134	0.068	0	0.25
r_g3_n135	0.068	0	0.25
r_g3_n136	0.068	0	0.26
r_g3_n137	0.069	0	0.25
r_g3_n138	0.068	0	0.25
r_g3_n139	0.068	0	0.25
r_g3_n140	0.069	0	0.25
r_g3_n141	0.069	0	0.25
r_g3_n142	0.069	0	0.26
r_g3_n143	0.069	0	0.26
r_g4_n1	0.079	0	0.31
r_g4_n2	0.08	0	0.33
r_g4_n3	0.08	0	0.33
r_g4_n4	0.08	0	0.33
r_g4_n5	0.083	0	0.34
r_g4_n6	0.082	0	0.33
r_g4_n7	0.083	0	0.34
r_g4_n8	0.083	0	0.33
r_g4_n9	0.083	0	0.33
r_g4_n10	0.083	0	0.34
r_g4_n11	0.082	0	0.33
r_g4_n12	0.082	0	0.33
r_g4_n13	0.083	0	0.33
r_g4_n14	0.083	0	0.34
r_g4_n15	0.082	0	0.34
r_g4_n16	0.082	0	0.34
r_g4_n17	0.083	0	0.33
r_g4_n18	0.083	0	0.34
r_g4_n19	0.083	0	0.34
r_g4_n20	0.083	0	0.33
r_g4_n21	0.082	0	0.33
r_g4_n22	0.082	0	0.33
r_g4_n23	0.082	0	0.33
