mean_t-Post-K-Pg	2.5%q-Post-K-Pg	97.5%q-Post-K-Pg	mean_t-Unconstrained	2.5%q-Unconstrained	97.5%q-Unconstrained
tn73|MAMMALIA	196.27	163.09	246.42	205.317	164.35	250.61
tn74|THERIA	126.351	118.31	143.95	139.671	122.88	163.87
tn75|MARSUPIALIA	55.246	43.17	66.42	58.409	44.93	70.03
tn76|EOMETATHERIA	45.65	34.81	55.96	47.746	35.95	56.63
tn77|PLACENTALIA	66.035	65.89	66.09	79.992	77.4	83.15
tn79|XENARTHRA	57.397	54.19	59.62	62.233	56.42	66.86
tn80|AFROTHERIA	60.099	59.19	60.9	65.62	62.28	69.31
tn81|PAENUNGULATA	56.051	54.74	57.2	56.619	52.81	61.61
tn84|LIPOTYPHLA	57.575	56.61	58.47	58.524	55.29	61.45
tn86|CHIROPTERA	56.295	54.48	57.58	58.741	55.56	61.47
tn88|CARNIVORA	50.457	46.62	53.26	52.283	48	55.59
tn91|CANIFORMIA	44.612	39.81	48.56	44.929	40.02	49.05
tn93|EUUNGULATA	60.259	59.64	60.8	66.32	64.92	68.15
tn94|ARTIODACTYLA	55.051	53.59	56.22	57.53	55.86	59.13
tn96|WHIP-RUM	49.985	47.87	51.56	50.182	48.24	51.69
tn97|BOV-ANTIL	19.92	16.06	24.46	18.781	15.95	23.24
tn99|EUARCHONTOGLIRES	61.636	61.28	61.98	69.745	68.16	71.43
tn101|GLIRES	59.653	59.18	60.14	66.191	64.75	67.57
tn102|LAGOMORPHA	47.822	45.89	49.44	48.149	46.19	50.18
tn103|RODENTIA	56.311	55.57	57.16	60.76	59.49	62.04
tn104|ROD-NOSQUIRREL	55.278	54.41	56.27	59.286	57.99	60.61
tn111|DIPOD-RATT	44.399	41.33	47.38	46	42.56	48.98
tn117|MURIDAE	9.958	7.58	13.91	10.94	8.48	14.26
tn121|PRIMATES	58.81	58.11	59.47	64.917	63.24	66.23
tn122|STREPSIRHINI	50.636	47.37	52.93	53.205	49.29	55.95
tn125|ANTHROPOIDEA	37.475	33.85	41.06	40.315	37.11	43.33
tn129|CATARRHINI	28.182	24.96	31.48	30.363	27.66	32.96
tn131|CERCOPITHECINAE	12.825	10.55	15.15	13.701	11.85	15.56
tn132|PAPIONINI	9.825	7.96	11.76	10.447	8.91	12
tn140|HOMINIDAE	18.694	16.1	21.41	20.162	17.92	22.23
tn141|GORILLA-HUMAN	10.684	8.81	12.19	11.385	9.83	12.4
tn142|HOMININI	8.784	7.16	10.01	9.302	7.99	10.1
