mean_t-Post-K-Pg	2.5%q-Post-K-Pg	97.5%q-Post-K-Pg	mean_t-Unconstrained	2.5%q-Unconstrained	97.5%q-Unconstrained
tn73|MAMMALIA	196.27	163.09	246.42	205.317	164.35	250.61
tn74|THERIA	126.351	118.31	143.95	139.671	122.88	163.87
tn75|MARSUPIALIA	55.246	43.17	66.42	58.409	44.93	70.03
tn76|EOMETATHERIA	45.65	34.81	55.96	47.746	35.95	56.63
tn77|PLACENTALIA	66.035	65.89	66.09	79.992	77.4	83.15
tn78	65.405	65.25	65.52	78.513	76.08	81.47
tn79|XENARTHRA	57.397	54.19	59.62	62.233	56.42	66.86
tn80|AFROTHERIA	60.099	59.19	60.9	65.62	62.28	69.31
tn81|PAENUNGULATA	56.051	54.74	57.2	56.619	52.81	61.61
tn82	64.066	63.82	64.29	74.991	73.03	77.32
tn83	61.938	61.5	62.34	69.772	68.25	71.68
tn84|LIPOTYPHLA	57.575	56.61	58.47	58.524	55.29	61.45
tn85	61.175	60.66	61.64	68.125	66.68	70
tn86|CHIROPTERA	56.295	54.48	57.58	58.741	55.56	61.47
tn87	60.845	60.3	61.33	67.462	66.04	69.32
tn88|CARNIVORA	50.457	46.62	53.26	52.283	48	55.59
tn89	15.84	11.45	19.79	15.661	11.87	19.46
tn90	8.339	5.7	10.97	8.009	5.78	10.36
tn91|CANIFORMIA	44.612	39.81	48.56	44.929	40.02	49.05
tn92	38.809	33.38	43.74	38.118	33	42.89
tn93|EUUNGULATA	60.259	59.64	60.8	66.32	64.92	68.15
tn94|ARTIODACTYLA	55.051	53.59	56.22	57.53	55.86	59.13
tn95	53.431	51.76	54.75	55.081	53.34	56.61
tn96|WHIP-RUM	49.985	47.87	51.56	50.182	48.24	51.69
tn97|BOV-ANTIL	19.92	16.06	24.46	18.781	15.95	23.24
tn98	9.034	6.65	11.98	8.254	6.44	10.76
tn99|EUARCHONTOGLIRES	61.636	61.28	61.98	69.745	68.16	71.43
tn100	61.189	60.81	61.56	68.92	67.36	70.52
tn101|GLIRES	59.653	59.18	60.14	66.191	64.75	67.57
tn102|LAGOMORPHA	47.822	45.89	49.44	48.149	46.19	50.18
tn103|RODENTIA	56.311	55.57	57.16	60.76	59.49	62.04
tn104|ROD-NOSQUIRREL	55.278	54.41	56.27	59.286	57.99	60.61
tn105	39.837	36.36	43.42	41.029	38.25	43.9
tn106	31.589	27.53	36.19	31.867	28.53	35.15
tn107	34.82	31.31	38.76	35.487	32.67	38.39
tn108	9.305	7.28	11.72	9.009	7.26	10.9
tn109	31.387	27.83	35.57	31.779	28.91	34.76
tn110	51.884	50.43	53.41	54.818	53.1	56.48
tn111|DIPOD-RATT	44.399	41.33	47.38	46	42.56	48.98
tn112	36.029	31.78	40.32	37.14	32.88	41.22
tn113	18.68	14.69	24.42	20.413	16.51	25.24
tn114	14.842	11.55	19.77	16.244	13	20.4
tn115	9.804	7.52	13.42	10.667	8.4	13.79
tn116	13.951	10.83	18.66	15.267	12.19	19.24
tn117|MURIDAE	9.958	7.58	13.91	10.94	8.48	14.26
tn118	4.943	3.64	7.16	5.407	4.07	7.3
tn119	2.573	1.86	3.78	2.798	2.08	3.84
tn120	1.216	0.87	1.8	1.316	0.97	1.83
tn121|PRIMATES	58.81	58.11	59.47	64.917	63.24	66.23
tn122|STREPSIRHINI	50.636	47.37	52.93	53.205	49.29	55.95
tn123	36.184	29.79	41.61	35.657	29.97	40.89
tn124	56.653	55.61	57.64	61.632	59.74	63.17
tn125|ANTHROPOIDEA	37.475	33.85	41.06	40.315	37.11	43.33
tn126	16.804	11.45	21.03	18.511	15.18	21.65
tn127	16.159	10.98	20.28	17.79	14.56	20.86
tn128	14.815	9.99	18.72	16.282	13.26	19.19
tn129|CATARRHINI	28.182	24.96	31.48	30.363	27.66	32.96
tn130	16.969	14.28	19.71	18.265	16.07	20.47
tn131|CERCOPITHECINAE	12.825	10.55	15.15	13.701	11.85	15.56
tn132|PAPIONINI	9.825	7.96	11.76	10.447	8.91	12
tn133	8.395	6.75	10.12	8.887	7.54	10.27
tn134	7.079	5.66	8.6	7.457	6.29	8.68
tn135	5.492	4.33	6.78	5.759	4.8	6.79
tn136	4.074	3.18	5.1	4.243	3.5	5.06
tn137	12.374	10.15	14.73	13.242	11.44	15.14
tn138	3.935	2.97	5.13	4.071	3.26	5.03
tn139	20.988	18.23	23.92	22.68	20.3	24.91
tn140|HOMINIDAE	18.694	16.1	21.41	20.162	17.92	22.23
tn141|GORILLA-HUMAN	10.684	8.81	12.19	11.385	9.83	12.4
tn142|HOMININI	8.784	7.16	10.01	9.302	7.99	10.1
tn143	3.661	2.85	4.49	3.812	3.15	4.42
