Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n73_MAMMALIA	209.118	165.43	252.28	B(1.641,2.522)
t_n74_THERIA	157.289	130.65	170.5	B(1.2156,1.694)
t_n75_MARSUPIALIA	91.348	48.71	127.68	B(0.4807,1.272)
t_n76_EOMETATHERIA	36.816	22.74	55.58	B(0.2304,0.56)
t_n77_PLACENTALIA	143.576	112.25	163.49	B(0.6166,1.625)
t_n78	130.871	89.81	159.65	0
t_n79_XENARTHRA	92.432	46.94	147.45	B(0.4807,1.625)
t_n80_AFROTHERIA	110.919	65.92	152.42	B(0.56,1.625)
t_n81_PAENUNGULATA	82.831	52.88	131.91	B(0.56,1.625)
t_n82	136.434	102.25	160.75	0
t_n83	123.823	81.09	156.99	0
t_n84_LIPOTYPHLA	96.356	60.63	145.78	B(0.6166,1.625)
t_n85	102.89	62.87	149.53	0
t_n86_CHIROPTERA	56.288	48.01	65.97	B(0.4807,0.6609)
t_n87	81.936	58.16	133.8	0
t_n88_CARNIVORA	56.801	42.29	66.34	B(0.3771,0.6609)
t_n89	33.019	4.77	61.09	0
t_n90	13.97	0.43	52.03	0
t_n91_CANIFORMIA	47.111	37.26	61.41	B(0.3771,0.6609)
t_n92	17.832	0.73	52.39	0
t_n93_EUUNGULATA	61.697	54.34	66.38	B(0.507,0.6609)
t_n94_ARTIODACTYLA	58.08	51.86	64.71	B(0.507,0.6609)
t_n95	55.437	50.8	62.39	0
t_n96_WHIP-RUM	53.06	50.02	59.01	B(0.507,0.6609)
t_n97_BOV-ANTIL	22.097	16.06	27.35	B(0.1599,0.2729)
t_n98	9.804	0.49	24.15	0
t_n99_EUARCHONTOGLIRES	121.68	78.78	155.78	B(0.6166,1.625)
t_n100	104.046	64.68	146.45	0
t_n101_GLIRES	86.348	60.72	131.83	B(0.56,1.625)
t_n102_LAGOMORPHA	56.159	48	65.93	B(0.4807,0.6609)
t_n103_RODENTIA	61.414	56.24	66.1	B(0.56,0.6609)
t_n104_ROD-NOSQUIRREL	56.029	49.71	59.47	B(0.4807,0.5924)
t_n105	44.587	14.36	58.28	0
t_n106	18.141	0.69	53.47	0
t_n107	29.228	6.04	55.62	0
t_n108	12.443	0.46	45.03	0
t_n109	12.417	0.44	44.53	0
t_n110	52.717	43.76	58.59	0
t_n111_DIPOD-RATT	48.108	40.9	56.78	B(0.4103,0.5924)
t_n112	35.511	16.5	54.17	0
t_n113	26.644	11.31	51.06	0
t_n114	17.676	4.76	39.66	0
t_n115	8.453	0.35	25.8	0
t_n116	8.47	0.33	26.06	0
t_n117_MURIDAE	12.281	7.44	16.07	B(0.0725,0.1599)
t_n118	9.316	3.27	15.14	0
t_n119	6.81	1.14	13.8	0
t_n120	3.857	0.11	11.35	0
t_n121_PRIMATES	62.058	56.21	66.25	B(0.56,0.6609)
t_n122_STREPSIRHINI	47.982	33.71	63.16	B(0.339,0.6609)
t_n123	18.691	0.75	54.34	0
t_n124	54.909	40.66	64.68	0
t_n125_ANTHROPOIDEA	45.776	33.84	60.29	B(0.339,0.6609)
t_n126	28.007	6.76	54.76	0
t_n127	12.092	0.46	37.84	0
t_n128	12.121	0.49	37.9	0
t_n129_CATARRHINI	30.531	24.94	34.07	B(0.2444,0.339)
t_n130	26.944	15.89	33.37	0
t_n131_CERCOPITHECINAE	22.765	10.14	32.27	B(0.0533,0.339)
t_n132_PAPIONINI	16.848	5.82	28.76	B(0.0533,0.339)
t_n133	10.741	2.06	23.9	0
t_n134	5.861	0.19	16.5	0
t_n135	10.727	2.05	23.87	0
t_n136	5.843	0.19	16.49	0
t_n137	16.067	3.08	31.03	0
t_n138	7.893	0.28	24.11	0
t_n139	24.983	13.53	33.12	0
t_n140_HOMINIDAE	19.868	11.54	31.26	B(0.1165,0.339)
t_n141_GORILLA-HUMAN	13.104	7.41	24.82	B(0.0533,0.339)
t_n142_HOMININI	8.001	6.47	9.95	B(0.065,0.1)
t_n143	3.988	0.19	8.59	0
