Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n73_MAMMALIA	208.359	164.52	252.23	B(1.641,2.522)
t_n74_THERIA	145.448	121.64	169.28	B(1.2156,1.694)
t_n75_MARSUPIALIA	84.282	47.92	126.52	B(0.4807,1.272)
t_n76_EOMETATHERIA	36.578	22.72	55.39	B(0.2304,0.56)
t_n77_PLACENTALIA	65.411	63.83	66.07	B(0.6166,0.6609,0.025,1e-300)
t_n78	64.034	59.59	65.92	0
t_n79_XENARTHRA	55.811	47.98	64.81	B(0.4807,0.6609)
t_n80_AFROTHERIA	61.724	56.87	65.45	B(0.56,0.6609)
t_n81_PAENUNGULATA	58.718	55.72	63.82	B(0.56,0.6609)
t_n82	65.127	63.43	66	0
t_n83	64.623	62.51	65.91	0
t_n84_LIPOTYPHLA	63.353	61.63	65.51	B(0.6166,0.6609)
t_n85	63.612	59.28	65.75	0
t_n86_CHIROPTERA	55.511	47.96	64.36	B(0.4807,0.6609)
t_n87	62.252	56.66	65.47	0
t_n88_CARNIVORA	55.168	41.69	64.08	B(0.3771,0.6609)
t_n89	32.868	4.87	60.1	0
t_n90	14.125	0.44	52.31	0
t_n91_CANIFORMIA	46.289	37.19	59.56	B(0.3771,0.6609)
t_n92	17.496	0.7	51.56	0
t_n93_EUUNGULATA	59.889	53.71	64.74	B(0.507,0.6609)
t_n94_ARTIODACTYLA	57.138	51.64	63.12	B(0.507,0.6609)
t_n95	55.011	50.73	61.22	0
t_n96_WHIP-RUM	52.782	49.98	58.14	B(0.507,0.6609)
t_n97_BOV-ANTIL	22.119	16.05	27.35	B(0.1599,0.2729)
t_n98	9.827	0.49	24.18	0
t_n99_EUARCHONTOGLIRES	64.501	62.28	65.87	B(0.6166,0.6609)
t_n100	63.244	59.36	65.54	0
t_n101_GLIRES	61.654	57.38	65.02	B(0.56,0.6609)
t_n102_LAGOMORPHA	54.313	47.9	62.54	B(0.4807,0.6609)
t_n103_RODENTIA	59.284	55.97	63.49	B(0.56,0.6609)
t_n104_ROD-NOSQUIRREL	55.853	49.81	59.38	B(0.4807,0.5924)
t_n105	45.405	15.14	58.22	0
t_n106	18.599	0.7	53.75	0
t_n107	30.149	6.4	55.89	0
t_n108	12.906	0.48	47.46	0
t_n109	12.895	0.46	47.51	0
t_n110	52.734	43.99	58.46	0
t_n111_DIPOD-RATT	48.127	40.9	56.67	B(0.4103,0.5924)
t_n112	35.853	16.64	54.29	0
t_n113	26.908	11.42	51.33	0
t_n114	17.841	4.77	41.12	0
t_n115	8.523	0.35	26.16	0
t_n116	8.521	0.35	25.97	0
t_n117_MURIDAE	12.291	7.44	16.07	B(0.0725,0.1599)
t_n118	9.323	3.24	15.19	0
t_n119	6.796	1.14	13.84	0
t_n120	3.854	0.11	11.36	0
t_n121_PRIMATES	61.711	56.3	65.26	B(0.56,0.6609)
t_n122_STREPSIRHINI	48.049	33.69	62.85	B(0.339,0.6609)
t_n123	19.289	0.76	55.61	0
t_n124	55.912	41.78	64.16	0
t_n125_ANTHROPOIDEA	46.507	33.89	61.23	B(0.339,0.6609)
t_n126	29.304	6.91	56.56	0
t_n127	12.681	0.49	44.7	0
t_n128	12.648	0.49	43.95	0
t_n129_CATARRHINI	30.529	24.92	34.07	B(0.2444,0.339)
t_n130	26.947	15.91	33.36	0
t_n131_CERCOPITHECINAE	22.788	10.17	32.27	B(0.0533,0.339)
t_n132_PAPIONINI	16.871	5.82	28.82	B(0.0533,0.339)
t_n133	10.735	2.05	23.9	0
t_n134	5.855	0.19	16.55	0
t_n135	10.731	2.05	23.84	0
t_n136	5.855	0.19	16.49	0
t_n137	16.025	3.04	30.91	0
t_n138	7.85	0.28	24.02	0
t_n139	24.953	13.48	33.12	0
t_n140_HOMINIDAE	19.876	11.54	31.21	B(0.1165,0.339)
t_n141_GORILLA-HUMAN	13.134	7.43	24.83	B(0.0533,0.339)
t_n142_HOMININI	8.01	6.47	9.95	B(0.065,0.1)
t_n143	3.996	0.19	8.6	0
