Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	577.07	569.83	579.92	B(5.5285,5.80,0.001,1e-300)
t_n56	471.074	88.51	576.22	0
t_n57	575.598	567.61	579.57	0
t_n58_EUMETAZOA	574.127	565.12	579.21	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	556.328	531.41	575.31	B(5.29,6.361,0.001,0.025)
t_n60	508.556	331.33	565.65	0
t_n61	390.497	36.18	546.2	0
t_n62	449.679	68.57	561.86	0
t_n63_BILATERIA	570.908	560.67	577.87	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	563.496	546.59	574.98	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	548.741	522.4	569.13	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	533.796	514.75	560.53	B(5.14,6.361,0.001,0.025)
t_n67	417.691	51.91	543.36	0
t_n68_VERTEBRATA	497.061	460.59	542.02	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	451.727	428.01	468.73	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	434.531	421.23	452.77	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	344.201	337.35	351.01	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	325.696	318.37	332.9	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	183.702	165.84	201.48	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	114.388	64.1	164.5	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	428.134	361.91	506.52	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	552.524	527.71	570.07	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	539.925	517.42	563.26	B(5.155,6.361,0.001,0.025)
t_n78	489.794	316.11	551.86	0
t_n79	367.268	28.8	534.08	0
t_n80_HEMICHORDATA	521.333	505.01	550.82	B(5.045,6.361,0.001,0.025)
t_n81	445.422	65.01	556.86	0
t_n82_PROTOSTOMIA	566.392	555.19	575.65	B(5.5285,6.361,0.001,0.025)
t_n83	560.957	546.61	573.22	0
t_n84	556.344	542.02	570.54	0
t_n85_ANNELIDS-MOLLUSCS	550.732	538.17	566.1	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	526.038	481.04	556.58	B(4.765,6.361,0.001,0.025)
t_n87	469.901	237.57	544.46	0
t_n88	345.288	23.93	528.3	0
t_n89	406.933	47.29	540.51	0
t_n90_MOLLUSCA	541.966	534.55	548.96	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	536.155	530.25	545.77	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	500.329	471.51	534.83	B(4.702,5.49,0.001,0.025)
t_n93	422.348	54.43	535.57	0
t_n94	449.886	71.03	557.73	0
t_n95	456.469	74.11	562.68	0
t_n96_ECDYSOZOA	559.192	542.84	572.16	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	551.435	534.66	567.4	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	543.274	529.88	561.07	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	534.259	521.63	551.99	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	524.963	516.45	531.33	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	520.096	514.25	528.82	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	510.465	499.62	523.75	B(4.99,5.3122,0.001,0.025)
t_n103	471.974	350.22	517.25	0
t_n104	424.531	320.77	507.76	0
t_n105_EUMETABOLA	354.357	307.34	412.87	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	513.514	498.25	530.56	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	463.578	418.21	514.64	B(4.16,5.3122,0.001,0.025)
