Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	732.624	636.4	828.05	B(5.5285,8.33,0.001,1e-300)
t_n56	487.412	88.1	655.08	0
t_n57	682.133	627.54	789.64	0
t_n58_EUMETAZOA	631.669	614.21	641.26	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	590.239	535.09	632.3	B(5.29,6.361,0.001,0.025)
t_n60	519.499	332.04	611.24	0
t_n61	393.041	35.06	566.34	0
t_n62	456.49	68.65	603.01	0
t_n63_BILATERIA	624.069	602.08	636.4	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	609.315	575.99	631.61	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	581.914	531.64	620.77	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	554.709	516.03	604.31	B(5.14,6.361,0.001,0.025)
t_n67	429.11	54.79	568.55	0
t_n68_VERTEBRATA	507.835	461.22	576.24	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	451.839	427.98	468.79	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	434.562	421.22	452.8	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	344.215	337.34	350.99	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	325.68	318.36	332.91	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	183.663	165.79	201.48	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	114.274	64.08	164.43	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	432.624	362.11	523.12	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	587.778	542.02	622.22	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	564.448	521.32	608.53	B(5.155,6.361,0.001,0.025)
t_n78	502.261	323.58	584.34	0
t_n79	376.598	30.74	545.34	0
t_n80_HEMICHORDATA	533.242	505.37	585.26	B(5.045,6.361,0.001,0.025)
t_n81	455.968	71.53	594.58	0
t_n82_PROTOSTOMIA	612.67	583.16	632.33	B(5.5285,6.361,0.001,0.025)
t_n83	597.893	560.53	627.03	0
t_n84	585.135	549.97	620.9	0
t_n85_ANNELIDS-MOLLUSCS	569.841	542.04	610.19	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	537.88	482.34	589.21	B(4.765,6.361,0.001,0.025)
t_n87	476.488	253.06	560.33	0
t_n88	349.423	24.81	532.52	0
t_n89	412.772	50.48	550.39	0
t_n90_MOLLUSCA	543.068	534.83	549.15	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	536.729	530.29	546.39	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	500.734	471.55	535.78	B(4.702,5.49,0.001,0.025)
t_n93	415.616	50.66	535.09	0
t_n94	453.084	69	591.67	0
t_n95	463.057	73.61	603.98	0
t_n96_ECDYSOZOA	596.224	559.71	625.07	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	579.136	543.1	614.47	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	561.665	532.48	600.71	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	543.721	523.52	580.52	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	525.624	516.81	531.47	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	520.477	514.27	529.19	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	510.595	499.61	524.14	B(4.99,5.3122,0.001,0.025)
t_n103	470.489	346.75	517.35	0
t_n104	423.191	320.49	507.06	0
t_n105_EUMETABOLA	354.269	307.35	412.78	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	514.088	498.3	530.95	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	463.881	418.22	515.41	B(4.16,5.3122,0.001,0.025)
