Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	732.266	636.39	827.99	B(5.5285,8.33,0.001,1e-300)
t_n56	488.154	92.11	652.68	0
t_n57	681.87	627.48	789.36	0
t_n58_EUMETAZOA	631.623	614.22	641.35	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	590.371	535.23	632.22	B(5.29,6.361,0.001,0.025)
t_n60	519.86	332.3	610.72	0
t_n61	393.741	35.13	567.72	0
t_n62	456.476	67.31	603.27	0
t_n63_BILATERIA	624.048	602.16	636.39	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	609.266	576.08	631.58	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	582.061	532.02	620.64	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	554.834	516.06	604.47	B(5.14,6.361,0.001,0.025)
t_n67	430.195	57.3	568.12	0
t_n68_VERTEBRATA	507.794	461.29	575.85	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	451.919	428.1	468.81	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	434.547	421.23	452.71	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	344.201	337.35	351.01	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	325.71	318.39	332.91	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	183.648	165.82	201.5	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	114.487	64.13	164.52	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	432.497	362.08	522.79	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	587.662	541.96	622.08	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	564.275	521.39	608.38	B(5.155,6.361,0.001,0.025)
t_n78	502.39	323.9	584.09	0
t_n79	377.323	32.36	545.44	0
t_n80_HEMICHORDATA	533.212	505.37	585.17	B(5.045,6.361,0.001,0.025)
t_n81	455.435	69.65	594.23	0
t_n82_PROTOSTOMIA	612.56	583.14	632.37	B(5.5285,6.361,0.001,0.025)
t_n83	597.76	560.37	626.97	0
t_n84	585.021	549.85	620.79	0
t_n85_ANNELIDS-MOLLUSCS	569.733	542.12	609.81	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	537.63	482.18	589.51	B(4.765,6.361,0.001,0.025)
t_n87	475.836	249.22	560.17	0
t_n88	349.308	24.84	532.56	0
t_n89	412.36	49.62	550.86	0
t_n90_MOLLUSCA	543.056	534.87	549.13	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	536.719	530.29	546.38	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	500.986	471.57	535.88	B(4.702,5.49,0.001,0.025)
t_n93	416.287	53.92	535.23	0
t_n94	452.972	68.26	591.67	0
t_n95	463.145	76.66	603.93	0
t_n96_ECDYSOZOA	596.064	559.43	625.04	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	579.099	543.01	614.86	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	561.669	532.45	600.47	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	543.701	523.53	580.59	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	525.62	516.75	531.46	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	520.493	514.27	529.21	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	510.555	499.59	524.08	B(4.99,5.3122,0.001,0.025)
t_n103	470.531	347.48	517.15	0
t_n104	423.354	320.83	507.01	0
t_n105_EUMETABOLA	354.34	307.39	412.8	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	514.039	498.26	530.88	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	463.863	418.27	515.49	B(4.16,5.3122,0.001,0.025)
