Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	577.054	569.78	579.92	B(5.5285,5.80,0.001,1e-300)
t_n56	471.36	86.28	576.02	0
t_n57	575.581	567.55	579.57	0
t_n58_EUMETAZOA	574.102	565	579.23	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	556.181	531.39	575.22	B(5.29,6.361,0.001,0.025)
t_n60	508.339	331.06	565.45	0
t_n61	390.389	34.38	546.61	0
t_n62	449.185	70.65	562.07	0
t_n63_BILATERIA	570.895	560.69	577.88	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	563.463	546.93	574.93	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	548.785	522.19	568.98	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	533.752	514.75	560.45	B(5.14,6.361,0.001,0.025)
t_n67	417.672	54.52	543.13	0
t_n68_VERTEBRATA	497.002	460.54	542.3	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	451.782	427.92	468.71	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	434.618	421.24	452.81	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	344.208	337.35	350.98	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	325.695	318.36	332.9	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	183.687	165.85	201.46	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	114.329	64.19	164.46	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	428.161	361.88	506.5	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	552.517	527.6	569.93	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	539.897	517.44	563.29	B(5.155,6.361,0.001,0.025)
t_n78	489.454	312.72	551.79	0
t_n79	366.888	30.31	534.73	0
t_n80_HEMICHORDATA	521.4	505	550.82	B(5.045,6.361,0.001,0.025)
t_n81	444.896	64.92	556.8	0
t_n82_PROTOSTOMIA	566.395	555.21	575.64	B(5.5285,6.361,0.001,0.025)
t_n83	560.966	546.5	573.19	0
t_n84	556.389	541.99	570.62	0
t_n85_ANNELIDS-MOLLUSCS	550.793	538.21	566.34	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	526.002	481.05	556.58	B(4.765,6.361,0.001,0.025)
t_n87	470.072	234.47	544.23	0
t_n88	344.8	23.7	527.67	0
t_n89	407.151	48.3	540.38	0
t_n90_MOLLUSCA	541.952	534.57	548.96	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	536.162	530.26	545.76	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	500.379	471.47	534.92	B(4.702,5.49,0.001,0.025)
t_n93	422.094	53.82	535.78	0
t_n94	450.448	74.53	557.91	0
t_n95	456.781	72.56	563.04	0
t_n96_ECDYSOZOA	559.188	542.74	572.15	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	551.457	534.6	567.49	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	543.274	529.93	560.98	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	534.211	521.57	551.94	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	524.98	516.41	531.34	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	520.107	514.26	528.81	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	510.455	499.6	523.73	B(4.99,5.3122,0.001,0.025)
t_n103	471.789	348.75	517.17	0
t_n104	424.587	321.01	507.56	0
t_n105_EUMETABOLA	354.34	307.4	412.59	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	513.593	498.26	530.59	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	463.559	418.22	514.65	B(4.16,5.3122,0.001,0.025)
