Mean_time	Mean_q2.5%	Mean_q97.5%	Priors
t_n55_METAZOA	732.646	636.39	828.06	B(5.5285,8.33,0.001,1e-300)
t_n56	487.473	86.34	655.2	0
t_n57	682.193	627.54	789.83	0
t_n58_EUMETAZOA	631.675	614.24	641.27	B(5.5285,6.361,0.001,0.025)
t_n59_CNIDARIA	590.262	535.09	632.29	B(5.29,6.361,0.001,0.025)
t_n60	519.442	331.62	611.31	0
t_n61	393.123	35.18	566.22	0
t_n62	456.662	69.07	603.11	0
t_n63_BILATERIA	624.07	602.07	636.39	B(5.5285,6.361,0.001,0.025)
t_n64_DEUTEROSTOMIA	609.326	575.99	631.6	B(5.155,6.361,0.001,0.025)
t_n65_OLFACTORES	581.993	531.65	620.8	B(5.14,6.361,0.001,0.025)
t_n66_EUARTHROPODA	554.737	516.03	604.39	B(5.14,6.361,0.001,0.025)
t_n67	429.226	54.79	568.44	0
t_n68_VERTEBRATA	507.795	461.21	576.28	B(4.575,6.361,0.001,0.025)
t_n69_GNATHOSTOMATA	451.813	427.94	468.79	B(4.207,4.684,0.001,0.025)
t_n70_OSTEICHTHYES	434.552	421.22	452.81	B(4.207,4.537,0.001,0.025)
t_n71_TETRAPODA	344.222	337.35	350.99	B(3.37,3.51,0.001,0.025)
t_n72_AMNIOTA	325.679	318.36	332.91	B(3.18,3.329,0.001,0.025)
t_n73_MAMMALIA	183.655	165.79	201.47	B(1.649,2.015,0.001,0.025)
t_n74_EUARCHONTOGLIRES	114.289	64.06	164.46	B(0.616,1.646,0.001,0.025)
t_n75_CYCLOSTOMATA	432.504	362.11	523.44	B(3.585,6.361,0.001,0.025)
t_n76_XENAMBULACRARIA	587.789	541.92	622.21	B(5.155,6.361,0.001,0.025)
t_n77_AMBULACRARIA	564.445	521.39	608.61	B(5.155,6.361,0.001,0.025)
t_n78	502.102	322.7	584.26	0
t_n79	376.295	30.59	545.35	0
t_n80_HEMICHORDATA	533.282	505.38	585.42	B(5.045,6.361,0.001,0.025)
t_n81	456.207	71.2	594.63	0
t_n82_PROTOSTOMIA	612.691	583.2	632.33	B(5.5285,6.361,0.001,0.025)
t_n83	597.922	560.54	626.99	0
t_n84	585.193	550.01	620.93	0
t_n85_ANNELIDS-MOLLUSCS	569.861	542.04	610.17	B(5.34,6.361,0.001,0.025)
t_n86_CAPITELLID-POLYCHETE-LEECH	537.852	482.26	589.26	B(4.765,6.361,0.001,0.025)
t_n87	476.455	256.02	560.21	0
t_n88	349.021	24.4	532.52	0
t_n89	412.579	50.43	550.21	0
t_n90_MOLLUSCA	543.064	534.83	549.15	B(5.34,5.49,0.001,0.025)
t_n91_BIVALVE-GASTROPOD	536.719	530.29	546.4	B(5.30,5.49,0.001,0.025)
t_n92_GASTROPODA	500.766	471.56	535.86	B(4.702,5.49,0.001,0.025)
t_n93	415.489	50.63	535.14	0
t_n94	453.218	68.17	591.68	0
t_n95	463.302	73.61	604.07	0
t_n96_ECDYSOZOA	596.215	559.71	625.07	B(5.2882,6.361,0.001,0.025)
t_n97_NEMATODA-ARTHROPODA	579.132	543.06	614.48	B(5.2882,6.361,0.001,0.025)
t_n98_LOBOPODIA	561.664	532.5	600.8	B(5.2882,6.361,0.001,0.025)
t_n99_CHORDATA	543.731	523.51	580.54	B(5.14,6.361,0.001,0.025)
t_n100_MANDIBULATA	525.629	516.81	531.47	B(5.14,5.3122,0.001,0.025)
t_n101_PANCRUSTACEA	520.479	514.27	529.2	B(5.14,5.3122,0.001,0.025)
t_n102_COPEPODA-BRANCHIOPODA	510.593	499.61	524.15	B(4.99,5.3122,0.001,0.025)
t_n103	470.486	346.71	517.32	0
t_n104	423.132	320.41	507.04	0
t_n105_EUMETABOLA	354.278	307.35	412.79	B(3.055,4.136,0.001,0.025)
t_n106_PYCNOGONIDA-OTHER-CHELICERATES	514.078	498.31	530.95	B(4.975,5.3122,0.001,0.025)
t_n107_ACARI-ARENACEA	463.833	418.23	515.41	B(4.16,5.3122,0.001,0.025)
